r	our_core_hp	opp_core_hp	our_ti	our_ammo	our_coll	opp_ti	opp_ammo	opp_coll	sent	gun	lau	bot	near_bot	near_sent	near_lau	opp_near_bot
0	500	500	470	0	0	470	0	0	0	0	0	1	0	0	0	0
1	500	500	406	0	0	434	0	0	0	0	1	2	0	0	0	0
2	500	500	327	0	0	360	0	0	0	0	0	3	0	0	0	0
3	500	500	294	0	0	321	0	0	0	0	1	3	0	0	0	0
4	500	500	294	0	0	260	0	0	0	0	0	3	0	0	0	0
5	500	500	304	0	10	244	16	0	0	0	0	3	0	0	0	0
6	500	500	217	0	10	168	24	0	0	0	0	4	0	0	0	0
7	500	500	106	16	10	188	24	10	0	0	1	5	0	0	1	0
8	500	500	106	16	10	188	24	10	0	0	1	5	0	0	1	0
9	500	500	110	16	20	120	24	10	0	0	1	5	0	0	1	0
10	500	500	110	16	20	81	24	20	0	0	1	5	0	0	1	0
11	500	500	130	16	30	84	24	20	0	0	1	5	1	0	1	0
12	500	500	128	16	30	84	24	20	0	0	1	5	1	0	1	0
13	500	500	136	16	40	27	24	20	0	0	1	5	1	0	1	0
14	500	500	134	16	40	30	24	30	0	0	1	5	1	0	1	0
15	500	500	152	16	50	50	24	40	0	0	1	5	1	0	1	0
16	500	500	150	16	50	43	24	40	0	0	1	5	1	0	1	0
17	500	500	114	16	60	36	24	40	0	0	1	5	1	0	1	0
18	500	500	106	16	60	46	24	50	0	0	1	5	1	0	1	0
19	500	500	124	16	70	59	24	60	0	0	1	5	1	0	1	0
20	500	500	110	24	70	59	24	60	0	0	1	5	1	0	1	0
21	500	500	108	24	80	52	24	60	0	0	1	5	1	0	1	1
22	500	500	108	24	80	55	24	70	0	0	1	5	0	0	1	1
23	500	500	59	24	90	61	24	80	1	0	1	5	1	0	1	1
24	500	500	59	14	90	61	24	80	1	0	1	5	1	0	1	1
25	500	500	52	24	100	52	24	80	1	0	1	5	1	0	1	1
26	500	500	2	14	100	61	24	90	1	1	1	5	1	0	1	1
27	500	500	22	10	110	73	24	100	1	1	1	5	1	0	1	1
28	500	500	4	6	110	73	24	100	1	1	1	5	1	0	1	2
