r	our_core_hp	opp_core_hp	our_ti	our_ammo	our_coll	opp_ti	opp_ammo	opp_coll	sent	gun	lau	bot	near_bot	near_sent	near_lau	opp_near_bot
0	500	500	470	0	0	470	0	0	0	0	0	1	0	0	0	0
1	500	500	406	0	0	434	0	0	0	0	1	2	0	0	0	0
2	500	500	361	0	0	392	0	0	0	0	0	3	0	0	0	0
3	500	500	305	0	0	354	0	0	0	0	1	3	0	0	0	0
4	500	500	300	0	0	260	0	0	0	0	0	3	0	0	0	0
5	500	500	267	0	0	148	0	0	0	0	1	3	0	0	0	0
6	500	500	262	0	0	120	16	0	0	0	0	3	0	0	0	0
7	500	500	239	0	0	130	16	0	0	0	1	3	0	0	0	0
8	500	500	249	0	10	134	16	10	0	0	0	3	0	0	0	0
9	500	500	216	0	10	134	16	10	0	0	1	3	0	0	0	0
10	500	500	216	0	10	144	16	20	0	0	0	3	0	0	0	0
11	500	500	158	0	10	154	16	20	0	0	1	3	0	0	1	0
12	500	500	111	16	20	118	16	30	0	0	1	3	0	0	1	0
13	500	500	106	16	20	111	16	30	0	0	1	3	0	0	1	0
14	500	500	101	16	20	121	16	40	0	0	1	3	0	0	1	0
15	500	500	106	16	20	124	16	40	0	0	1	3	0	0	1	0
16	500	500	121	16	40	79	16	50	0	0	1	3	0	0	1	0
17	500	500	121	16	40	72	16	50	0	0	1	3	0	0	1	0
18	500	500	116	16	40	75	16	60	0	0	1	3	0	0	1	0
19	500	500	126	16	40	78	16	60	0	0	1	3	0	0	1	0
20	500	500	131	16	50	64	16	60	0	0	1	3	0	0	1	0
21	500	500	141	16	60	74	16	70	0	0	1	3	0	0	1	0
22	500	500	151	16	70	94	16	90	0	0	1	3	0	0	1	0
23	500	500	161	16	70	104	16	90	0	0	1	3	0	0	1	0
24	500	500	191	16	100	114	16	100	0	0	1	3	0	0	1	0
25	500	500	191	16	100	64	16	100	0	0	1	3	0	0	1	0
26	500	500	153	16	100	77	16	120	0	0	1	3	0	0	1	0
27	500	500	163	16	100	97	16	130	0	0	1	3	0	0	1	0
28	500	500	178	16	120	100	16	140	0	0	1	3	0	0	1	0
