r	our_core_hp	opp_core_hp	our_ti	our_ammo	our_coll	opp_ti	opp_ammo	opp_coll	sent	gun	lau	bot	near_bot	near_sent	near_lau	opp_near_bot
0	500	500	470	0	0	470	0	0	0	0	0	1	0	0	0	0
1	500	500	406	0	0	434	0	0	0	0	1	2	0	0	0	0
2	500	500	327	0	0	392	0	0	0	0	0	3	0	0	0	0
3	500	500	294	0	0	354	0	0	0	0	1	3	0	0	0	0
4	500	500	294	0	0	260	0	0	0	0	0	3	0	0	0	0
5	500	500	304	0	10	238	16	0	0	0	0	3	0	0	0	0
6	500	500	217	0	10	169	24	0	0	0	0	4	1	0	0	0
7	500	500	106	16	10	173	24	0	0	0	1	5	1	0	1	0
8	500	500	100	16	10	173	14	0	0	0	1	5	1	0	1	0
9	500	500	104	16	20	173	24	10	0	0	1	5	0	0	1	0
10	500	500	104	16	20	173	14	10	0	0	1	5	1	0	1	0
11	500	500	118	16	30	173	24	10	0	0	1	5	1	0	1	0
12	500	500	118	16	30	173	14	10	0	0	1	5	0	0	1	0
13	500	500	128	16	40	105	24	20	0	0	1	5	1	0	1	0
14	500	500	126	16	40	105	14	20	0	0	1	5	1	0	1	0
15	500	500	144	16	50	105	24	20	0	0	1	5	1	0	1	0
16	500	500	98	16	50	105	24	20	0	0	1	5	1	0	1	0
17	500	500	100	16	60	115	24	30	0	0	1	5	1	0	1	0
18	500	500	98	16	60	66	24	30	0	0	1	5	1	0	1	0
19	500	500	39	24	70	76	20	30	1	0	1	5	1	0	1	0
20	500	500	39	14	70	72	20	30	1	0	1	5	1	0	1	0
21	500	500	39	24	80	78	20	40	1	0	1	5	1	0	1	0
22	500	500	39	14	80	74	20	40	1	0	1	5	1	0	1	1
23	500	500	49	24	90	73	24	40	1	0	1	5	1	0	1	1
24	500	500	49	24	90	66	24	40	1	0	1	5	1	0	1	1
25	500	500	59	24	100	76	24	50	1	0	1	5	1	0	1	0
26	500	500	59	24	100	76	24	50	1	0	1	5	1	0	1	1
27	500	500	79	24	110	37	24	50	1	0	1	5	1	0	1	1
28	500	500	27	24	110	23	24	50	1	1	1	5	1	0	1	1
