r	our_core_hp	opp_core_hp	our_ti	our_ammo	our_coll	opp_ti	opp_ammo	opp_coll	sent	gun	lau	bot	near_bot	near_sent	near_lau	opp_near_bot
0	500	500	470	0	0	470	0	0	0	0	0	1	0	0	0	0
1	500	500	406	0	0	434	0	0	0	0	1	2	0	0	0	0
2	500	500	361	0	0	392	0	0	0	0	0	3	0	0	0	0
3	500	500	339	0	0	354	0	0	0	0	1	3	0	0	1	0
4	500	500	305	0	0	300	0	0	0	0	0	3	1	0	0	0
5	500	500	297	0	0	284	16	0	0	0	0	3	1	0	0	0
6	500	500	247	0	0	216	24	0	0	0	0	4	1	0	0	0
7	500	500	189	0	0	182	24	0	0	0	0	5	1	0	0	0
8	500	500	115	0	0	125	14	0	0	0	0	6	1	0	0	0
9	500	500	115	0	0	39	24	0	0	0	0	6	0	0	0	0
10	482	500	40	16	10	23	20	0	1	0	0	6	1	0	0	0
11	482	500	42	14	10	15	31	0	1	0	0	6	1	0	0	0
12	468	500	31	24	10	1	11	0	1	0	0	6	0	0	0	0
13	472	500	30	14	10	11	11	10	1	0	0	6	1	0	0	0
14	462	500	21	24	20	4	1	10	1	0	0	6	1	0	0	1
15	470	500	29	14	20	34	1	30	1	0	0	6	0	0	0	1
16	482	500	16	24	20	18	17	30	1	0	0	6	1	0	0	1
17	494	500	13	24	20	12	23	30	1	0	0	6	1	0	0	1
18	500	500	14	24	30	12	23	30	1	0	0	6	2	0	0	1
19	500	500	24	24	30	42	23	50	1	0	0	6	0	0	0	1
20	500	500	17	24	30	19	39	50	1	0	0	6	1	0	0	1
21	500	500	17	24	30	12	46	50	1	0	0	6	1	0	0	1
22	500	500	27	24	40	12	46	50	1	0	0	6	1	0	0	1
23	500	500	37	24	40	42	46	70	1	0	0	6	2	0	0	1
24	500	500	37	24	40	21	60	70	1	0	0	6	1	0	0	1
25	500	500	37	14	40	21	60	70	1	0	0	6	2	0	0	1
26	500	500	30	24	50	21	60	70	1	0	0	6	2	0	0	1
27	500	500	39	24	50	51	50	90	1	0	0	6	2	0	0	1
28	500	500	36	24	50	41	60	90	1	0	0	6	2	0	0	1
