tag	map	seed	seat	arm	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
v527_glacierkeep_s2_A	glacierkeep	2	A	v527	US	_v527collar	Core destroyed	169	0	140	0
v528_glacierkeep_s2_A	glacierkeep	2	A	v528	US	_v528eco	Core destroyed	112	0	220	0
parent_glacierkeep_s2_A	glacierkeep	2	A	parent	US	base_arm	Core destroyed	110	0	230	0
flagoff_glacierkeep_s2_A	glacierkeep	2	A	flagoff	US	flagoff_arm	Core destroyed	767	0	5670	140
v529_glacierkeep_s2_B	glacierkeep	2	B	v529	OPP	_v488beltbreak2	Harvesters (tiebreak)	1000	0	0	0
v527_glacierkeep_s2_B	glacierkeep	2	B	v527	US	_v527collar	Core destroyed	228	0	260	0
v528_glacierkeep_s2_B	glacierkeep	2	B	v528	US	_v528eco	Core destroyed	325	0	0	0
parent_glacierkeep_s2_B	glacierkeep	2	B	parent	US	base_arm	Core destroyed	143	0	570	0
flagoff_glacierkeep_s2_B	glacierkeep	2	B	flagoff	US	flagoff_arm	Core destroyed	225	0	0	0
v529_nordkap_s1_A	nordkap	1	A	v529	US	_v529merge	Core destroyed	157	0	230	110
v527_nordkap_s1_A	nordkap	1	A	v527	US	_v527collar	Core destroyed	165	0	160	110
v528_nordkap_s1_A	nordkap	1	A	v528	US	_v528eco	Core destroyed	414	0	410	320
parent_nordkap_s1_A	nordkap	1	A	parent	OPP	_v488beltbreak2	Core destroyed	490	0	360	3900
flagoff_nordkap_s1_A	nordkap	1	A	flagoff	US	flagoff_arm	Core destroyed	99	0	440	60
v529_nordkap_s1_B	nordkap	1	B	v529	OPP	_v488beltbreak2	Core destroyed	384	0	540	3840
v527_nordkap_s1_B	nordkap	1	B	v527	US	_v527collar	Core destroyed	117	0	170	10
v528_nordkap_s1_B	nordkap	1	B	v528	OPP	_v488beltbreak2	Core destroyed	313	0	270	360
parent_nordkap_s1_B	nordkap	1	B	parent	OPP	_v488beltbreak2	Core destroyed	826	0	90	340
flagoff_nordkap_s1_B	nordkap	1	B	flagoff	US	flagoff_arm	Core destroyed	309	0	130	10
v529_nordkap_s2_A	nordkap	2	A	v529	OPP	_v488beltbreak2	Core destroyed	237	0	0	1630
v527_nordkap_s2_A	nordkap	2	A	v527	US	_v527collar	Core destroyed	239	0	1570	60
v528_nordkap_s2_A	nordkap	2	A	v528	US	_v528eco	Core destroyed	195	0	460	80
parent_nordkap_s2_A	nordkap	2	A	parent	US	base_arm	Core destroyed	284	0	1000	80
flagoff_nordkap_s2_A	nordkap	2	A	flagoff	OPP	_v488beltbreak2	Core destroyed	406	0	120	1710
v529_nordkap_s2_B	nordkap	2	B	v529	US	_v529merge	Core destroyed	292	0	3410	1570
v527_nordkap_s2_B	nordkap	2	B	v527	OPP	_v488beltbreak2	Core destroyed	374	0	110	620
v528_nordkap_s2_B	nordkap	2	B	v528	US	_v528eco	Core destroyed	327	0	410	50
parent_nordkap_s2_B	nordkap	2	B	parent	US	base_arm	Core destroyed	165	0	90	80
flagoff_nordkap_s2_B	nordkap	2	B	flagoff	OPP	_v488beltbreak2	Core destroyed	272	0	130	3270
v529_yulerune_s1_A	yulerune	1	A	v529	US	_v529merge	Core destroyed	88	0	250	0
v527_yulerune_s1_A	yulerune	1	A	v527	US	_v527collar	Core destroyed	113	0	340	0
v528_yulerune_s1_A	yulerune	1	A	v528	US	_v528eco	Core destroyed	97	0	230	0
