game	outcome	cond	end_r	evicts	evictor_r	first_lau_r	ring_rounds	dead_rounds	dead_first	close_r	g_obs	g_pend	g_fund	g_open
v513_log-atoll-s1-A	v513_log	Core_destroyed	277	8	14	14	142	5	5	-1	2	0	0	3
v513_log-atoll-s1-B	base	Core_destroyed	524	49	8	8	99	14	5	-1	7	7	0	0
v513_log-atoll-s2-A	v513_log	Core_destroyed	228	51	8	8	223	18	5	-1	2	0	15	1
v513_log-atoll-s2-B	base	Core_destroyed	765	104	18	18	270	12	5	-1	5	0	5	2
v513_log-atoll-s3-A	base	Core_destroyed	244	6	8	8	195	4	5	-1	2	0	0	2
v513_log-atoll-s3-B	base	Core_destroyed	357	10	6	6	80	6	5	-1	4	0	2	0
v513_log-drakkarfjord-s1-A	v513_log	Core_destroyed	381	0	-1	-1	215	10	34	-1	7	0	3	0
v513_log-drakkarfjord-s1-B	v513_log	Core_destroyed	119	0	-1	-1	108	4	50	93	4	0	0	0
v513_log-drakkarfjord-s2-A	base	Core_destroyed	588	0	-1	-1	158	3	34	91	3	0	0	0
v513_log-drakkarfjord-s2-B	v513_log	Core_destroyed	129	0	-1	-1	118	0	-1	47	0	0	0	0
v513_log-drakkarfjord-s3-A	v513_log	Core_destroyed	215	0	-1	-1	204	1	30	95	1	0	0	0
v513_log-drakkarfjord-s3-B	v513_log	Core_destroyed	173	0	-1	-1	162	46	127	47	4	0	42	0
v513_log-glacierkeep-s1-A	v513_log	Core_destroyed	469	0	-1	-1	49	0	-1	-1	0	0	0	0
v513_log-glacierkeep-s1-B	v513_log	Core_destroyed	241	0	-1	-1	180	0	-1	45	0	0	0	0
v513_log-glacierkeep-s2-A	v513_log	Core_destroyed	259	0	-1	-1	250	2	9	45	2	0	0	0
v513_log-glacierkeep-s2-B	base	Core_destroyed	571	0	-1	-1	112	9	9	55	4	0	5	0
v513_log-glacierkeep-s3-A	v513_log	Core_destroyed	173	0	-1	-1	164	4	9	56	4	0	0	0
v513_log-glacierkeep-s3-B	v513_log	Titanium_collected_(tiebreak)	1000	0	-1	-1	991	223	9	49	4	0	219	0
v513_log-midgard-s1-A	base	Core_destroyed	238	3	-1	14	120	0	-1	-1	0	0	0	0
v513_log-midgard-s1-B	base	Core_destroyed	136	2	-1	123	12	0	-1	-1	0	0	0	0
v513_log-midgard-s2-A	v513_log	Core_destroyed	312	0	-1	-1	217	12	39	-1	5	0	1	6
v513_log-midgard-s2-B	base	Core_destroyed	116	2	-1	78	38	0	-1	-1	0	0	0	0
v513_log-midgard-s3-A	v513_log	Core_destroyed	466	14	36	14	265	0	-1	-1	0	0	0	0
v513_log-midgard-s3-B	base	Core_destroyed	306	2	-1	187	23	0	-1	-1	0	0	0	0
v513_log-nordkap-s1-A	v513_log	Core_destroyed	306	0	-1	-1	119	60	5	-1	8	0	34	18
v513_log-nordkap-s1-B	v513_log	Core_destroyed	609	9	97	97	604	7	6	69	5	0	2	0
v513_log-nordkap-s2-A	base	Core_destroyed	312	0	-1	-1	307	9	5	-1	6	0	3	0
v513_log-nordkap-s2-B	v513_log	Core_destroyed	240	11	64	64	136	6	5	27	4	0	1	1
v513_log-nordkap-s3-A	base	Core_destroyed	348	0	-1	-1	343	12	5	-1	2	0	9	1
v513_log-nordkap-s3-B	base	Core_destroyed	484	0	-1	-1	337	19	18	100	4	0	15	0
