file	our_team	match	game	opp	oppver	ourver	map	trig
../scratchpad/idlepeck_dose/ctrl_midgard_1.json	0	local	1	sitter	0	125	midgard	local
../scratchpad/idlepeck_dose/ctrl_midgard_2.json	0	local	2	sitter	0	125	midgard	local
../scratchpad/idlepeck_dose/ctrl_midgard_3.json	0	local	3	sitter	0	125	midgard	local
../scratchpad/idlepeck_dose/ctrl_midgard_4.json	0	local	4	sitter	0	125	midgard	local
../scratchpad/idlepeck_dose/ctrl_midgard_5.json	0	local	5	sitter	0	125	midgard	local
../scratchpad/idlepeck_dose/ctrl_midgard_6.json	0	local	6	sitter	0	125	midgard	local
../scratchpad/idlepeck_dose/ctrl_frostgate_1.json	0	local	1	sitter	0	125	frostgate	local
../scratchpad/idlepeck_dose/ctrl_frostgate_2.json	0	local	2	sitter	0	125	frostgate	local
../scratchpad/idlepeck_dose/ctrl_frostgate_3.json	0	local	3	sitter	0	125	frostgate	local
../scratchpad/idlepeck_dose/ctrl_frostgate_4.json	0	local	4	sitter	0	125	frostgate	local
../scratchpad/idlepeck_dose/ctrl_frostgate_5.json	0	local	5	sitter	0	125	frostgate	local
../scratchpad/idlepeck_dose/ctrl_frostgate_6.json	0	local	6	sitter	0	125	frostgate	local
