file	our_team	match	game	opp	oppver	ourver	map	trig
../scratchpad/idlepeck_dose/ctrlc2_midgard_1.json	0	local	1	camper2	0	125	midgard	local
../scratchpad/idlepeck_dose/ctrlc2_midgard_2.json	0	local	2	camper2	0	125	midgard	local
../scratchpad/idlepeck_dose/ctrlc2_midgard_3.json	0	local	3	camper2	0	125	midgard	local
../scratchpad/idlepeck_dose/ctrlc2_midgard_4.json	0	local	4	camper2	0	125	midgard	local
../scratchpad/idlepeck_dose/ctrlc2_midgard_5.json	0	local	5	camper2	0	125	midgard	local
../scratchpad/idlepeck_dose/ctrlc2_midgard_6.json	0	local	6	camper2	0	125	midgard	local
../scratchpad/idlepeck_dose/ctrlc2_frostgate_1.json	0	local	1	camper2	0	125	frostgate	local
../scratchpad/idlepeck_dose/ctrlc2_frostgate_2.json	0	local	2	camper2	0	125	frostgate	local
../scratchpad/idlepeck_dose/ctrlc2_frostgate_3.json	0	local	3	camper2	0	125	frostgate	local
../scratchpad/idlepeck_dose/ctrlc2_frostgate_4.json	0	local	4	camper2	0	125	frostgate	local
../scratchpad/idlepeck_dose/ctrlc2_frostgate_5.json	0	local	5	camper2	0	125	frostgate	local
../scratchpad/idlepeck_dose/ctrlc2_frostgate_6.json	0	local	6	camper2	0	125	frostgate	local
