tag	map	seed	seat	arm	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
twinA_glacierkeep_s2_B	glacierkeep	2	B	twinA	OPP	_x3r0v169mjolnir	Core destroyed	534	0	0	700
twinB_glacierkeep_s2_B	glacierkeep	2	B	twinB	US	twinB	Core destroyed	623	0	6580	0
twinA_glacierkeep_s3_A	glacierkeep	3	A	twinA	US	twinA	Core destroyed	699	0	1310	220
twinB_glacierkeep_s3_A	glacierkeep	3	A	twinB	OPP	_x3r0v169mjolnir	Harvesters (tiebreak)	1000	0	0	0
twinA_glacierkeep_s3_B	glacierkeep	3	B	twinA	US	twinA	Core destroyed	548	0	5260	2820
twinB_glacierkeep_s3_B	glacierkeep	3	B	twinB	OPP	_x3r0v169mjolnir	Core destroyed	483	0	0	1420
twinA_glacierkeep_s4_A	glacierkeep	4	A	twinA	OPP	_x3r0v169mjolnir	Core destroyed	311	0	0	1590
twinB_glacierkeep_s4_A	glacierkeep	4	A	twinB	OPP	_x3r0v169mjolnir	Core destroyed	402	0	590	1260
twinA_glacierkeep_s4_B	glacierkeep	4	B	twinA	OPP	_x3r0v169mjolnir	Core destroyed	369	0	0	1080
twinB_glacierkeep_s4_B	glacierkeep	4	B	twinB	OPP	_x3r0v169mjolnir	Core destroyed	761	0	750	4200
twinA_glacierkeep_s5_A	glacierkeep	5	A	twinA	US	twinA	Core destroyed	569	0	0	690
twinB_glacierkeep_s5_A	glacierkeep	5	A	twinB	OPP	_x3r0v169mjolnir	Core destroyed	713	0	0	0
twinA_glacierkeep_s5_B	glacierkeep	5	B	twinA	OPP	_x3r0v169mjolnir	Core destroyed	468	0	0	1690
twinB_glacierkeep_s5_B	glacierkeep	5	B	twinB	OPP	_x3r0v169mjolnir	Titanium collected (tiebreak)	1000	0	10520	11360
twinA_archipelago_s6_A	archipelago	6	A	twinA	OPP	_x3r0v169mjolnir	Core destroyed	266	0	2520	3000
twinB_archipelago_s6_A	archipelago	6	A	twinB	OPP	_x3r0v169mjolnir	Core destroyed	412	0	3180	4540
twinA_archipelago_s6_B	archipelago	6	B	twinA	OPP	_x3r0v169mjolnir	Core destroyed	205	0	910	2070
twinB_archipelago_s6_B	archipelago	6	B	twinB	OPP	_x3r0v169mjolnir	Core destroyed	213	0	950	990
twinA_archipelago_s7_A	archipelago	7	A	twinA	US	twinA	Core destroyed	234	0	1830	1220
twinB_archipelago_s7_A	archipelago	7	A	twinB	OPP	_x3r0v169mjolnir	Core destroyed	347	0	3390	5090
twinA_archipelago_s7_B	archipelago	7	B	twinA	OPP	_x3r0v169mjolnir	Core destroyed	242	0	590	1360
twinB_archipelago_s7_B	archipelago	7	B	twinB	OPP	_x3r0v169mjolnir	Core destroyed	198	0	880	1410
twinA_archipelago_s8_A	archipelago	8	A	twinA	OPP	_x3r0v169mjolnir	Core destroyed	154	0	400	1160
twinB_archipelago_s8_A	archipelago	8	A	twinB	OPP	_x3r0v169mjolnir	Core destroyed	198	0	410	1000
twinA_archipelago_s8_B	archipelago	8	B	twinA	OPP	_x3r0v169mjolnir	Core destroyed	138	0	580	1830
twinB_archipelago_s8_B	archipelago	8	B	twinB	OPP	_x3r0v169mjolnir	Core destroyed	199	0	810	1760
twinA_archipelago_s9_A	archipelago	9	A	twinA	US	twinA	Core destroyed	189	0	1320	1470
twinB_archipelago_s9_A	archipelago	9	A	twinB	OPP	_x3r0v169mjolnir	Titanium collected (tiebreak)	1000	0	11500	16300
twinA_archipelago_s9_B	archipelago	9	B	twinA	OPP	_x3r0v169mjolnir	Core destroyed	153	0	650	1810
twinB_archipelago_s9_B	archipelago	9	B	twinB	OPP	_x3r0v169mjolnir	Core destroyed	177	0	700	1020
twinA_archipelago_s10_A	archipelago	10	A	twinA	OPP	_x3r0v169mjolnir	Core destroyed	253	0	1300	1770
twinB_archipelago_s10_A	archipelago	10	A	twinB	OPP	_x3r0v169mjolnir	Core destroyed	492	0	1960	5560
