file	our_team	match	game	opp	oppver	ourver	map	trig
../scratchpad/camper2_validity/midgard_1.json	0	local	1	camper2	0	125	midgard	local
../scratchpad/camper2_validity/midgard_2.json	0	local	2	camper2	0	125	midgard	local
../scratchpad/camper2_validity/midgard_3.json	0	local	3	camper2	0	125	midgard	local
../scratchpad/camper2_validity/midgard_4.json	0	local	4	camper2	0	125	midgard	local
../scratchpad/camper2_validity/midgard_5.json	0	local	5	camper2	0	125	midgard	local
../scratchpad/camper2_validity/midgard_6.json	0	local	6	camper2	0	125	midgard	local
../scratchpad/camper2_validity/frostgate_1.json	0	local	1	camper2	0	125	frostgate	local
../scratchpad/camper2_validity/frostgate_2.json	0	local	2	camper2	0	125	frostgate	local
../scratchpad/camper2_validity/frostgate_3.json	0	local	3	camper2	0	125	frostgate	local
../scratchpad/camper2_validity/frostgate_4.json	0	local	4	camper2	0	125	frostgate	local
../scratchpad/camper2_validity/frostgate_5.json	0	local	5	camper2	0	125	frostgate	local
../scratchpad/camper2_validity/frostgate_6.json	0	local	6	camper2	0	125	frostgate	local
