tag	id	x	y	site	built	died	life	stood	dsq_opp	dsq_own	end
atoll_s1_A	7	4	12	HOME	1	2	1	0	200.5	8.5	322
atoll_s1_A	12	8	8	HOP	3	4	1	0	72.5	72.5	322
atoll_s1_A	25	14	5	RING	9	-1	313	1	6.5	222.5	322
atoll_s1_A	183	5	15	HOME	107	108	1	0	246.5	6.5	322
atoll_s1_A	191	12	11	HOP	112	113	1	0	78.5	102.5	322
atoll_s1_A	223	5	15	HOME	133	134	1	0	246.5	6.5	322
atoll_s1_A	287	13	0	HOP	175	-1	147	1	8.5	320.5	322
atoll_s1_A	443	9	4	HOP	292	-1	30	1	32.5	152.5	322
atoll_s1_B	7	13	5	HOME	1	2	1	0	200.5	8.5	195
atoll_s1_B	13	9	9	HOP	3	4	1	0	72.5	72.5	195
atoll_s1_B	23	3	12	RING	6	-1	189	1	6.5	222.5	195
atoll_s2_A	7	4	12	HOME	1	2	1	0	200.5	8.5	999
atoll_s2_A	12	8	8	HOP	3	4	1	0	72.5	72.5	999
atoll_s2_A	29	13	4	RING	8	67	59	0	4.5	220.5	999
atoll_s2_A	201	5	17	HOP	115	116	1	0	300.5	12.5	999
atoll_s2_A	208	11	12	HOP	120	121	1	0	102.5	78.5	999
atoll_s2_A	256	5	15	HOME	163	164	1	0	246.5	6.5	999
atoll_s2_A	261	11	12	HOP	166	167	1	0	102.5	78.5	999
atoll_s2_A	285	5	15	HOME	186	187	1	0	246.5	6.5	999
atoll_s2_A	292	12	10	HOP	192	193	1	0	62.5	110.5	999
atoll_s2_A	321	6	17	HOP	218	-1	781	1	282.5	18.5	999
atoll_s2_A	322	0	14	HOME	219	220	1	0	342.5	6.5	999
atoll_s2_A	330	6	12	HOP	225	226	1	0	162.5	18.5	999
atoll_s2_A	338	12	5	HOP	232	-1	767	1	12.5	180.5	999
atoll_s2_A	356	0	14	HOME	248	376	128	0	342.5	6.5	999
atoll_s2_B	7	13	5	HOME	1	2	1	0	200.5	8.5	269
atoll_s2_B	12	9	9	HOP	3	4	1	0	72.5	72.5	269
atoll_s2_B	23	3	12	RING	8	-1	261	1	6.5	222.5	269
atoll_s3_A	7	4	12	HOME	1	2	1	0	200.5	8.5	999
atoll_s3_A	12	8	8	HOP	3	4	1	0	72.5	72.5	999
atoll_s3_A	25	12	3	RING	6	22	16	0	6.5	222.5	999
atoll_s3_A	151	5	15	HOME	71	72	1	0	246.5	6.5	999
atoll_s3_A	156	12	12	HOP	75	76	1	0	96.5	96.5	999
atoll_s3_A	353	9	2	HOP	246	-1	753	1	30.5	198.5	999
atoll_s3_B	7	13	5	HOME	1	2	1	0	200.5	8.5	243
atoll_s3_B	13	9	9	HOP	3	4	1	0	72.5	72.5	243
atoll_s3_B	22	4	13	RING	6	-1	237	1	4.5	220.5	243
atoll_s3_B	309	13	5	HOME	229	230	1	0	200.5	8.5	243
atoll_s3_B	323	7	8	HOP	238	239	1	0	62.5	86.5	243
atoll_s4_A	7	4	12	HOME	1	2	1	0	200.5	8.5	344
atoll_s4_A	12	8	8	HOP	3	4	1	0	72.5	72.5	344
atoll_s4_A	27	14	5	RING	8	10	2	0	6.5	222.5	344
atoll_s4_A	39	12	4	HOP	12	-1	332	1	8.5	200.5	344
atoll_s4_A	210	6	14	HOP	108	109	1	0	204.5	12.5	344
atoll_s4_A	219	5	6	HOP	114	115	1	0	102.5	78.5	344
atoll_s4_A	437	0	14	HOME	291	292	1	0	342.5	6.5	344
atoll_s4_A	439	3	9	HOP	293	294	1	0	174.5	30.5	344
atoll_s4_A	443	7	5	HOP	295	296	1	0	62.5	110.5	344
atoll_s4_B	7	13	5	HOME	1	2	1	0	200.5	8.5	179
atoll_s4_B	12	9	9	HOP	3	4	1	0	72.5	72.5	179
atoll_s5_A	7	4	12	HOME	1	2	1	0	200.5	8.5	527
atoll_s5_A	12	8	8	HOP	3	4	1	0	72.5	72.5	527
atoll_s5_A	17	12	4	HOP	5	9	4	0	8.5	200.5	527
atoll_s5_A	46	13	0	HOP	19	-1	508	1	8.5	320.5	527
atoll_s5_A	96	5	15	HOME	58	59	1	0	246.5	6.5	527
atoll_s5_A	99	10	12	HOP	60	61	1	0	110.5	62.5	527
atoll_s5_A	109	16	7	HOP	69	70	1	0	22.5	238.5	527
atoll_s5_A	189	15	5	RING	116	127	11	0	6.5	246.5	527
atoll_s5_A	206	16	5	HOP	128	131	3	0	8.5	272.5	527
atoll_s5_A	240	5	15	HOME	153	154	1	0	246.5	6.5	527
atoll_s5_A	245	11	12	HOP	156	157	1	0	102.5	78.5	527
atoll_s5_A	268	16	4	RING	173	181	8	0	4.5	292.5	527
atoll_s5_A	284	16	4	RING	184	188	4	0	4.5	292.5	527
atoll_s5_A	319	5	15	HOME	210	211	1	0	246.5	6.5	527
atoll_s5_A	322	10	12	HOP	212	213	1	0	110.5	62.5	527
atoll_s5_A	359	5	15	HOME	239	240	1	0	246.5	6.5	527
atoll_s5_A	366	12	11	HOP	244	245	1	0	78.5	102.5	527
atoll_s5_A	405	5	15	HOME	273	274	1	0	246.5	6.5	527
atoll_s5_A	413	12	11	HOP	278	279	1	0	78.5	102.5	527
atoll_s5_A	463	5	15	HOME	307	308	1	0	246.5	6.5	527
atoll_s5_A	471	12	11	HOP	312	313	1	0	78.5	102.5	527
atoll_s5_A	511	4	12	HOME	337	338	1	0	200.5	8.5	527
atoll_s5_A	530	12	7	HOP	348	349	1	0	26.5	146.5	527
atoll_s5_A	597	5	15	HOME	390	391	1	0	246.5	6.5	527
atoll_s5_A	608	12	10	HOP	396	397	1	0	62.5	110.5	527
atoll_s5_A	658	0	14	HOME	424	-1	103	1	342.5	6.5	527
atoll_s5_A	738	5	15	HOME	467	468	1	0	246.5	6.5	527
atoll_s5_A	742	10	12	HOP	469	470	1	0	110.5	62.5	527
atoll_s5_A	747	13	7	HOP	471	472	1	0	22.5	166.5	527
atoll_s5_A	834	5	15	HOME	518	519	1	0	246.5	6.5	527
atoll_s5_A	838	10	12	HOP	520	521	1	0	110.5	62.5	527
atoll_s5_A	843	13	7	HOP	522	523	1	0	22.5	166.5	527
atoll_s5_B	7	13	5	HOME	1	2	1	0	200.5	8.5	148
atoll_s5_B	13	9	9	HOP	3	4	1	0	72.5	72.5	148
atoll_s5_B	23	5	14	RING	6	-1	142	1	6.5	222.5	148
atoll_s6_A	7	4	12	HOME	1	2	1	0	200.5	8.5	543
