tag	rnd	why	scale_pct	sent_price	builder_bot	conveyor	splitter	barrier	harvester	launcher	gunner	sentinel
atoll_s1_A	187	first_fwd_sentinel	350	105	80	14	0	1	15	20	20	100
atoll_s1_A	300	r300	404	121	80	14	0	5	15	30	40	120
atoll_s1_A	322	end	404	121	80	14	0	5	15	30	40	120
atoll_s1_A	0	r0	120	36	20	0	0	0	0	0	0	0
atoll_s1_B	98	first_fwd_sentinel	299	89	60	13	0	6	10	10	40	60
atoll_s1_B	195	r300	281	84	40	13	0	8	10	10	40	60
atoll_s1_B	195	end	281	84	40	13	0	8	10	10	40	60
atoll_s1_B	0	r0	120	36	20	0	0	0	0	0	0	0
atoll_s2_A	138	first_fwd_sentinel	298	89	80	14	0	4	20	0	0	80
atoll_s2_A	300	r300	285	85	60	14	0	1	20	30	0	60
atoll_s2_A	999	end	289	86	40	13	0	6	10	20	20	80
atoll_s2_A	0	r0	120	36	20	0	0	0	0	0	0	0
atoll_s2_B	269	r300	282	84	60	11	0	1	20	10	40	40
atoll_s2_B	269	end	282	84	60	11	0	1	20	10	40	40
atoll_s2_B	0	r0	120	36	20	0	0	0	0	0	0	0
atoll_s3_A	300	r300	373	111	20	8	0	5	10	10	40	180
atoll_s3_A	999	end	373	111	20	8	0	5	10	10	40	180
atoll_s3_A	0	r0	120	36	20	0	0	0	0	0	0	0
atoll_s3_B	243	r300	266	79	60	14	0	2	20	10	20	40
atoll_s3_B	243	end	266	79	60	14	0	2	20	10	20	40
atoll_s3_B	0	r0	120	36	20	0	0	0	0	0	0	0
atoll_s4_A	300	r300	369	110	100	7	0	2	10	10	40	100
atoll_s4_A	344	end	309	92	40	7	0	2	10	10	40	100
atoll_s4_A	0	r0	120	36	20	0	0	0	0	0	0	0
atoll_s4_B	179	r300	275	82	100	2	0	3	10	0	0	60
atoll_s4_B	179	end	275	82	100	2	0	3	10	0	0	60
atoll_s4_B	0	r0	120	36	20	0	0	0	0	0	0	0
atoll_s5_A	300	r300	233	69	60	5	0	3	15	10	0	40
atoll_s5_A	527	end	258	77	80	4	0	4	10	20	0	40
atoll_s5_A	0	r0	120	36	20	0	0	0	0	0	0	0
atoll_s5_B	148	r300	236	70	60	10	0	1	15	10	20	20
atoll_s5_B	148	end	236	70	60	10	0	1	15	10	20	20
atoll_s5_B	0	r0	120	36	20	0	0	0	0	0	0	0
atoll_s6_A	300	r300	329	98	60	11	0	3	15	20	80	40
atoll_s6_A	543	end	278	83	20	5	0	3	10	20	80	40
atoll_s6_A	0	r0	120	36	20	0	0	0	0	0	0	0
atoll_s6_B	300	r300	313	93	40	11	0	2	20	0	40	100
atoll_s6_B	520	end	288	86	40	6	0	2	20	0	20	100
atoll_s6_B	0	r0	120	36	20	0	0	0	0	0	0	0
drakkarfjord_s1_A	236	first_fwd_sentinel	419	125	80	86	0	3	40	30	20	60
drakkarfjord_s1_A	300	r300	449	134	80	86	0	3	40	60	20	60
drakkarfjord_s1_A	603	end	462	138	80	79	0	3	40	60	40	60
drakkarfjord_s1_A	0	r0	120	36	20	0	0	0	0	0	0	0
drakkarfjord_s1_B	458	first_fwd_sentinel	329	98	80	73	0	11	25	0	0	40
drakkarfjord_s1_B	300	r300	286	85	60	72	0	9	25	0	0	20
drakkarfjord_s1_B	999	end	265	79	40	70	0	10	25	0	0	20
drakkarfjord_s1_B	0	r0	120	36	20	0	0	0	0	0	0	0
drakkarfjord_s2_A	144	first_fwd_sentinel	357	107	80	33	0	4	20	0	20	100
drakkarfjord_s2_A	300	r300	451	135	80	86	0	5	40	20	20	100
drakkarfjord_s2_A	308	end	461	138	80	86	0	5	40	30	20	100
drakkarfjord_s2_A	0	r0	120	36	20	0	0	0	0	0	0	0
drakkarfjord_s2_B	300	r300	442	132	80	101	0	1	40	0	20	100
drakkarfjord_s2_B	462	end	438	131	40	97	0	1	40	0	20	140
drakkarfjord_s2_B	0	r0	120	36	20	0	0	0	0	0	0	0
drakkarfjord_s3_A	145	first_fwd_sentinel	363	108	100	18	0	10	15	0	0	120
drakkarfjord_s3_A	200	r300	367	110	100	23	0	9	15	0	0	120
drakkarfjord_s3_A	200	end	367	110	100	23	0	9	15	0	0	120
drakkarfjord_s3_A	0	r0	120	36	20	0	0	0	0	0	0	0
drakkarfjord_s3_B	300	r300	408	122	60	84	0	4	40	20	20	80
drakkarfjord_s3_B	999	end	558	167	60	104	0	4	40	150	20	80
drakkarfjord_s3_B	0	r0	120	36	20	0	0	0	0	0	0	0
drakkarfjord_s4_A	336	first_fwd_sentinel	509	152	80	85	0	4	40	20	80	100
drakkarfjord_s4_A	300	r300	489	146	80	85	0	4	40	20	80	80
drakkarfjord_s4_A	391	end	498	149	100	74	0	4	40	20	80	80
drakkarfjord_s4_A	0	r0	120	36	20	0	0	0	0	0	0	0
drakkarfjord_s4_B	444	first_fwd_sentinel	393	117	80	80	0	8	35	10	40	40
drakkarfjord_s4_B	300	r300	318	95	60	31	0	7	20	0	80	20
drakkarfjord_s4_B	819	end	501	150	60	98	0	3	40	120	60	20
drakkarfjord_s4_B	0	r0	120	36	20	0	0	0	0	0	0	0
drakkarfjord_s5_A	276	first_fwd_sentinel	481	144	80	84	0	7	40	50	20	100
drakkarfjord_s5_A	300	r300	482	144	80	84	0	8	40	50	20	100
drakkarfjord_s5_A	323	end	503	150	80	84	0	9	40	50	20	120
drakkarfjord_s5_A	0	r0	120	36	20	0	0	0	0	0	0	0
drakkarfjord_s5_B	85	first_fwd_sentinel	296	88	100	18	0	8	10	0	20	40
drakkarfjord_s5_B	300	r300	294	88	100	16	0	8	10	0	20	40
drakkarfjord_s5_B	999	end	300	90	100	16	0	9	15	0	20	40
drakkarfjord_s5_B	0	r0	120	36	20	0	0	0	0	0	0	0
drakkarfjord_s6_A	300	r300	389	116	60	86	0	3	40	0	20	80
drakkarfjord_s6_A	999	end	462	138	20	70	0	2	40	90	40	100
drakkarfjord_s6_A	0	r0	120	36	20	0	0	0	0	0	0	0
drakkarfjord_s6_B	80	first_fwd_sentinel	298	89	100	18	0	10	10	0	0	60
drakkarfjord_s6_B	249	r300	298	89	100	18	0	10	10	0	0	60
drakkarfjord_s6_B	249	end	298	89	100	18	0	10	10	0	0	60
drakkarfjord_s6_B	0	r0	120	36	20	0	0	0	0	0	0	0
glacierkeep_s1_A	574	first_fwd_sentinel	447	134	100	105	0	7	55	0	40	40
glacierkeep_s1_A	300	r300	292	87	80	40	0	7	25	0	40	0
glacierkeep_s1_A	633	end	442	132	80	115	0	7	60	0	40	40
glacierkeep_s1_A	0	r0	120	36	20	0	0	0	0	0	0	0
glacierkeep_s1_B	80	first_fwd_sentinel	285	85	120	10	0	10	5	0	20	20
glacierkeep_s1_B	168	r300	260	78	100	8	0	7	5	0	20	20
glacierkeep_s1_B	168	end	260	78	100	8	0	7	5	0	20	20
glacierkeep_s1_B	0	r0	120	36	20	0	0	0	0	0	0	0
glacierkeep_s2_A	80	first_fwd_sentinel	286	85	120	10	0	11	5	0	20	20
glacierkeep_s2_A	236	r300	285	85	120	9	0	11	5	0	20	20
glacierkeep_s2_A	236	end	285	85	120	9	0	11	5	0	20	20
glacierkeep_s2_A	0	r0	120	36	20	0	0	0	0	0	0	0
glacierkeep_s2_B	84	first_fwd_sentinel	295	88	120	10	0	10	5	10	20	20
glacierkeep_s2_B	300	r300	269	80	100	7	0	7	5	10	20	20
glacierkeep_s2_B	999	end	279	83	100	7	0	7	15	10	20	20
glacierkeep_s2_B	0	r0	120	36	20	0	0	0	0	0	0	0
glacierkeep_s3_A	104	first_fwd_sentinel	305	91	120	10	0	10	5	0	40	20
glacierkeep_s3_A	181	r300	305	91	120	10	0	10	5	0	40	20
glacierkeep_s3_A	181	end	305	91	120	10	0	10	5	0	40	20
glacierkeep_s3_A	0	r0	120	36	20	0	0	0	0	0	0	0
glacierkeep_s3_B	89	first_fwd_sentinel	239	71	100	8	0	11	0	0	0	20
glacierkeep_s3_B	192	r300	237	71	100	6	0	11	0	0	0	20
glacierkeep_s3_B	192	end	237	71	100	6	0	11	0	0	0	20
