tag	siege_r	idle_r	ammo_med	lt10	ge10	ge120	idle_med
atoll_s1_A	135	188	66	0.0	1.0	0.0	20.0
atoll_s1_B	97	99	50	0.0	1.0	0.0	24
atoll_s2_A	41	959	33	0.2682926829268293	0.7317073170731707	0.0	60
atoll_s2_B	0	270	-1	-1	-1	-1	9.0
atoll_s3_A	0	1000	-1	-1	-1	-1	48.0
atoll_s3_B	0	244	-1	-1	-1	-1	3.0
atoll_s4_A	0	345	-1	-1	-1	-1	24
atoll_s4_B	0	180	-1	-1	-1	-1	24.0
atoll_s5_A	0	528	-1	-1	-1	-1	24.0
atoll_s5_B	0	149	-1	-1	-1	-1	12
atoll_s6_A	0	544	-1	-1	-1	-1	20.0
atoll_s6_B	0	521	-1	-1	-1	-1	28
drakkarfjord_s1_A	367	237	50	0.0	1.0	0.0	24
drakkarfjord_s1_B	4	996	25.5	0.0	1.0	0.0	60.0
drakkarfjord_s2_A	91	218	50	0.0	1.0	0.0	24.0
drakkarfjord_s2_B	0	463	-1	-1	-1	-1	24
drakkarfjord_s3_A	55	146	45	0.01818181818181818	0.9818181818181818	0.0	24.0
drakkarfjord_s3_B	0	1000	-1	-1	-1	-1	24.0
drakkarfjord_s4_A	55	337	50	0.0	1.0	0.0	24
drakkarfjord_s4_B	44	776	50.0	0.0	1.0	0.0	24.0
drakkarfjord_s5_A	47	277	212	0.0	1.0	0.9574468085106383	24
drakkarfjord_s5_B	914	86	5.0	0.9573304157549234	0.04266958424507659	0.0	20.0
drakkarfjord_s6_A	0	1000	-1	-1	-1	-1	24.0
drakkarfjord_s6_B	161	89	2	0.9254658385093167	0.07453416149068323	0.0	6
glacierkeep_s1_A	59	575	37	0.1864406779661017	0.8135593220338984	0.0	20
glacierkeep_s1_B	88	81	0.0	0.7840909090909091	0.2159090909090909	0.0	17
glacierkeep_s2_A	156	81	4.0	0.8910256410256411	0.10897435897435898	0.0	20
glacierkeep_s2_B	915	85	2	0.9748633879781421	0.025136612021857924	0.0	20
glacierkeep_s3_A	77	105	4	0.8311688311688312	0.16883116883116883	0.0	20
glacierkeep_s3_B	103	90	0	0.9611650485436893	0.038834951456310676	0.0	24.0
glacierkeep_s4_A	134	128	4.0	0.9552238805970149	0.04477611940298507	0.0	20.0
glacierkeep_s4_B	923	77	5	0.9794149512459371	0.020585048754062838	0.0	20
glacierkeep_s5_A	60	57	29.0	0.13333333333333333	0.8666666666666667	0.0	24
glacierkeep_s5_B	939	61	4	0.9968051118210862	0.003194888178913738	0.0	24
glacierkeep_s6_A	69	86	8	0.5217391304347826	0.4782608695652174	0.0	20.0
glacierkeep_s6_B	399	66	3	0.9799498746867168	0.020050125313283207	0.0	24.0
midgard_s1_A	56	101	24.0	0.05357142857142857	0.9464285714285714	0.0	16
midgard_s1_B	13	256	30	0.07692307692307693	0.9230769230769231	0.0	24.0
midgard_s2_A	43	122	50	0.0	1.0	0.0	18.0
midgard_s2_B	61	70	30	0.01639344262295082	0.9836065573770492	0.0	16.0
midgard_s3_A	99	227	50	0.0	1.0	0.0	24
midgard_s3_B	33	346	30	0.030303030303030304	0.9696969696969697	0.0	40.0
midgard_s4_A	0	169	-1	-1	-1	-1	20
midgard_s4_B	22	134	30.0	0.045454545454545456	0.9545454545454546	0.0	40.0
midgard_s5_A	14	800	48.0	0.0	1.0	0.0	30.0
midgard_s5_B	13	123	30	0.07692307692307693	0.9230769230769231	0.0	40
midgard_s6_A	55	241	50	0.0	1.0	0.0	20
midgard_s6_B	143	50	0	0.6993006993006993	0.3006993006993007	0.0	16.0
nordkap_s1_A	55	288	50	0.0	1.0	0.0	24.0
nordkap_s1_B	55	108	69	0.0	1.0	0.10909090909090909	24.0
nordkap_s2_A	0	860	-1	-1	-1	-1	5.0
nordkap_s2_B	124	77	2.0	0.9758064516129032	0.024193548387096774	0.0	20
nordkap_s3_A	0	416	-1	-1	-1	-1	15.0
nordkap_s3_B	55	233	50	0.0	1.0	0.0	24
nordkap_s4_A	169	324	5	0.9171597633136095	0.08284023668639054	0.0	20.0
nordkap_s4_B	115	116	50	0.0	1.0	0.0	24.0
nordkap_s5_A	0	295	-1	-1	-1	-1	21
nordkap_s5_B	86	77	10.0	0.43023255813953487	0.5697674418604651	0.0	24
nordkap_s6_A	0	506	-1	-1	-1	-1	24.0
nordkap_s6_B	68	145	9.0	0.6029411764705882	0.39705882352941174	0.0	22
