tag	rnd	why	scale_pct	sent_price	builder_bot	conveyor	splitter	barrier	harvester	launcher	gunner	sentinel
atoll_s1_A	110	first_fwd_sentinel	319	95	80	14	0	5	20	20	20	60
atoll_s1_A	179	r300	339	101	80	14	0	5	20	20	20	80
atoll_s1_A	179	end	339	101	80	14	0	5	20	20	20	80
atoll_s1_A	0	r0	120	36	20	0	0	0	0	0	0	0
atoll_s1_B	279	r300	189	56	60	8	0	1	20	0	0	0
atoll_s1_B	279	end	189	56	60	8	0	1	20	0	0	0
atoll_s1_B	0	r0	120	36	20	0	0	0	0	0	0	0
atoll_s2_A	63	first_fwd_sentinel	288	86	100	4	0	4	10	10	0	60
atoll_s2_A	300	r300	436	130	220	4	0	2	10	20	0	80
atoll_s2_A	669	end	355	106	120	4	0	1	10	20	0	100
atoll_s2_A	0	r0	120	36	20	0	0	0	0	0	0	0
atoll_s2_B	81	first_fwd_sentinel	281	84	80	13	0	3	25	0	20	40
atoll_s2_B	300	r300	261	78	40	14	0	2	25	40	20	20
atoll_s2_B	486	end	335	100	80	14	0	6	25	30	40	40
atoll_s2_B	0	r0	120	36	20	0	0	0	0	0	0	0
atoll_s3_A	31	first_fwd_sentinel	234	70	80	12	0	2	10	10	0	20
atoll_s3_A	154	r300	218	65	60	11	0	2	15	10	0	20
atoll_s3_A	154	end	218	65	60	11	0	2	15	10	0	20
atoll_s3_A	0	r0	120	36	20	0	0	0	0	0	0	0
atoll_s3_B	128	first_fwd_sentinel	320	96	80	10	0	5	15	10	0	100
atoll_s3_B	245	r300	205	61	0	10	0	5	20	10	0	60
atoll_s3_B	245	end	205	61	0	10	0	5	20	10	0	60
atoll_s3_B	0	r0	120	36	20	0	0	0	0	0	0	0
drakkarfjord_s1_A	71	first_fwd_sentinel	277	83	100	10	0	7	10	10	0	40
drakkarfjord_s1_A	172	r300	278	83	100	10	0	8	10	10	0	40
drakkarfjord_s1_A	172	end	278	83	100	10	0	8	10	10	0	40
drakkarfjord_s1_A	0	r0	120	36	20	0	0	0	0	0	0	0
drakkarfjord_s1_B	163	first_fwd_sentinel	361	108	80	68	0	3	30	0	20	60
drakkarfjord_s1_B	300	r300	387	116	60	82	0	0	35	10	40	60
drakkarfjord_s1_B	999	end	469	140	40	99	0	0	40	30	40	120
drakkarfjord_s1_B	0	r0	120	36	20	0	0	0	0	0	0	0
drakkarfjord_s2_A	349	first_fwd_sentinel	444	133	80	73	0	6	35	10	0	140
drakkarfjord_s2_A	300	r300	422	126	80	72	0	5	35	10	0	120
drakkarfjord_s2_A	855	end	383	114	60	64	0	4	25	10	20	100
drakkarfjord_s2_A	0	r0	120	36	20	0	0	0	0	0	0	0
drakkarfjord_s2_B	300	r300	273	81	60	30	0	3	20	0	40	20
drakkarfjord_s2_B	453	end	268	80	60	30	0	3	15	0	40	20
drakkarfjord_s2_B	0	r0	120	36	20	0	0	0	0	0	0	0
drakkarfjord_s3_A	69	first_fwd_sentinel	290	87	100	10	0	10	10	0	20	40
drakkarfjord_s3_A	300	r300	288	86	100	9	0	9	10	0	20	40
drakkarfjord_s3_A	562	end	267	80	80	9	0	8	10	0	20	40
drakkarfjord_s3_A	0	r0	120	36	20	0	0	0	0	0	0	0
drakkarfjord_s3_B	92	first_fwd_sentinel	317	95	100	18	0	9	10	0	40	40
drakkarfjord_s3_B	154	r300	318	95	100	18	0	10	10	0	40	40
drakkarfjord_s3_B	154	end	318	95	100	18	0	10	10	0	40	40
drakkarfjord_s3_B	0	r0	120	36	20	0	0	0	0	0	0	0
glacierkeep_s1_A	73	first_fwd_sentinel	286	85	120	10	0	11	5	0	20	20
glacierkeep_s1_A	300	r300	264	79	100	9	0	10	5	0	20	20
glacierkeep_s1_A	919	end	257	77	80	34	0	8	15	0	20	0
glacierkeep_s1_A	0	r0	120	36	20	0	0	0	0	0	0	0
glacierkeep_s1_B	90	first_fwd_sentinel	255	76	100	14	0	11	10	0	0	20
glacierkeep_s1_B	300	r300	227	68	80	13	0	9	5	0	0	20
glacierkeep_s1_B	999	end	238	71	80	14	0	9	15	0	0	20
glacierkeep_s1_B	0	r0	120	36	20	0	0	0	0	0	0	0
glacierkeep_s2_A	196	first_fwd_sentinel	295	88	100	18	0	7	10	0	20	40
glacierkeep_s2_A	300	r300	275	82	100	18	0	7	10	0	20	20
glacierkeep_s2_A	447	end	295	88	100	18	0	7	10	0	20	40
glacierkeep_s2_A	0	r0	120	36	20	0	0	0	0	0	0	0
glacierkeep_s2_B	104	first_fwd_sentinel	281	84	120	10	0	11	0	0	20	20
glacierkeep_s2_B	300	r300	239	71	80	9	0	10	0	0	20	20
glacierkeep_s2_B	999	end	249	74	80	9	0	10	10	0	20	20
glacierkeep_s2_B	0	r0	120	36	20	0	0	0	0	0	0	0
glacierkeep_s3_A	80	first_fwd_sentinel	285	85	120	10	0	10	5	0	20	20
glacierkeep_s3_A	180	r300	284	85	120	9	0	10	5	0	20	20
glacierkeep_s3_A	180	end	284	85	120	9	0	10	5	0	20	20
glacierkeep_s3_A	0	r0	120	36	20	0	0	0	0	0	0	0
glacierkeep_s3_B	48	first_fwd_sentinel	264	79	120	10	0	9	5	0	0	20
glacierkeep_s3_B	300	r300	195	58	60	8	0	7	0	0	0	20
glacierkeep_s3_B	999	end	256	76	40	60	0	6	30	0	20	0
glacierkeep_s3_B	0	r0	120	36	20	0	0	0	0	0	0	0
midgard_s1_A	163	r300	229	68	40	13	0	1	25	10	40	0
midgard_s1_A	163	end	229	68	40	13	0	1	25	10	40	0
midgard_s1_A	0	r0	120	36	20	0	0	0	0	0	0	0
midgard_s1_B	42	first_fwd_sentinel	218	65	60	13	0	0	15	10	0	20
midgard_s1_B	277	r300	200	60	20	17	0	3	10	10	20	20
midgard_s1_B	277	end	200	60	20	17	0	3	10	10	20	20
midgard_s1_B	0	r0	120	36	20	0	0	0	0	0	0	0
midgard_s2_A	140	first_fwd_sentinel	221	66	60	9	0	7	15	10	0	20
midgard_s2_A	244	r300	182	54	20	9	0	8	15	10	0	20
midgard_s2_A	244	end	182	54	20	9	0	8	15	10	0	20
midgard_s2_A	0	r0	120	36	20	0	0	0	0	0	0	0
midgard_s2_B	42	first_fwd_sentinel	218	65	60	13	0	0	15	10	0	20
midgard_s2_B	123	r300	252	75	80	22	0	0	20	10	0	20
midgard_s2_B	123	end	252	75	80	22	0	0	20	10	0	20
midgard_s2_B	0	r0	120	36	20	0	0	0	0	0	0	0
midgard_s3_A	127	first_fwd_sentinel	268	80	40	12	0	1	15	20	40	40
midgard_s3_A	300	r300	248	74	20	12	0	1	15	20	40	40
midgard_s3_A	658	end	248	74	20	12	0	1	15	20	40	40
midgard_s3_A	0	r0	120	36	20	0	0	0	0	0	0	0
midgard_s3_B	42	first_fwd_sentinel	218	65	60	13	0	0	15	10	0	20
midgard_s3_B	252	r300	208	62	40	23	0	5	20	0	0	20
midgard_s3_B	252	end	208	62	40	23	0	5	20	0	0	20
midgard_s3_B	0	r0	120	36	20	0	0	0	0	0	0	0
nordkap_s1_A	128	first_fwd_sentinel	265	79	100	10	0	5	10	0	20	20
nordkap_s1_A	236	r300	262	78	100	8	0	4	10	0	20	20
nordkap_s1_A	236	end	262	78	100	8	0	4	10	0	20	20
nordkap_s1_A	0	r0	120	36	20	0	0	0	0	0	0	0
nordkap_s1_B	68	first_fwd_sentinel	263	78	100	5	0	8	10	0	0	40
nordkap_s1_B	144	r300	264	79	100	5	0	9	10	0	0	40
nordkap_s1_B	144	end	264	79	100	5	0	9	10	0	0	40
nordkap_s1_B	0	r0	120	36	20	0	0	0	0	0	0	0
