tag	map	seed	seat	arm	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
v526_glacierkeep_s2_A	glacierkeep	2	A	v526	US	inst_v526	Titanium collected (tiebreak)	1000	0	10	0
parent_glacierkeep_s2_A	glacierkeep	2	A	parent	US	inst_parent	Core destroyed	143	0	410	0
v526_glacierkeep_s2_B	glacierkeep	2	B	v526	US	inst_v526	Core destroyed	329	0	0	0
parent_glacierkeep_s2_B	glacierkeep	2	B	parent	OPP	_v488beltbreak2	Harvesters (tiebreak)	1000	0	0	0
v526_glacierkeep_s3_A	glacierkeep	3	A	v526	US	inst_v526	Core destroyed	716	0	370	0
parent_glacierkeep_s3_A	glacierkeep	3	A	parent	US	inst_parent	Core destroyed	111	0	420	0
v526_glacierkeep_s3_B	glacierkeep	3	B	v526	US	inst_v526	Core destroyed	376	0	410	0
parent_glacierkeep_s3_B	glacierkeep	3	B	parent	OPP	_v488beltbreak2	Harvesters (tiebreak)	1000	0	0	0
v526_glacierkeep_s4_A	glacierkeep	4	A	v526	US	inst_v526	Core destroyed	429	0	10	0
parent_glacierkeep_s4_A	glacierkeep	4	A	parent	US	inst_parent	Core destroyed	111	0	420	0
v526_glacierkeep_s4_B	glacierkeep	4	B	v526	US	inst_v526	Titanium collected (tiebreak)	1000	0	50	0
parent_glacierkeep_s4_B	glacierkeep	4	B	parent	US	inst_parent	Core destroyed	293	0	0	110
v526_glacierkeep_s5_A	glacierkeep	5	A	v526	US	inst_v526	Titanium collected (tiebreak)	1000	0	20	0
parent_glacierkeep_s5_A	glacierkeep	5	A	parent	US	inst_parent	Core destroyed	217	0	250	160
v526_glacierkeep_s5_B	glacierkeep	5	B	v526	US	inst_v526	Core destroyed	209	0	0	0
parent_glacierkeep_s5_B	glacierkeep	5	B	parent	US	inst_parent	Core destroyed	445	0	0	0
v526_glacierkeep_s6_A	glacierkeep	6	A	v526	US	inst_v526	Titanium collected (tiebreak)	1000	0	20	0
parent_glacierkeep_s6_A	glacierkeep	6	A	parent	US	inst_parent	Core destroyed	131	0	280	0
v526_glacierkeep_s6_B	glacierkeep	6	B	v526	US	inst_v526	Core destroyed	323	0	730	0
parent_glacierkeep_s6_B	glacierkeep	6	B	parent	US	inst_parent	Core destroyed	457	0	60	240
v526_nordkap_s1_A	nordkap	1	A	v526	OPP	_v488beltbreak2	Core destroyed	357	0	110	410
parent_nordkap_s1_A	nordkap	1	A	parent	US	inst_parent	Core destroyed	225	0	180	0
v526_nordkap_s1_B	nordkap	1	B	v526	OPP	_v488beltbreak2	Core destroyed	274	0	280	3390
parent_nordkap_s1_B	nordkap	1	B	parent	US	inst_parent	Core destroyed	140	0	860	40
v526_nordkap_s2_A	nordkap	2	A	v526	US	inst_v526	Core destroyed	321	0	240	90
parent_nordkap_s2_A	nordkap	2	A	parent	US	inst_parent	Core destroyed	725	0	3770	70
v526_nordkap_s2_B	nordkap	2	B	v526	US	inst_v526	Core destroyed	601	0	4070	1310
parent_nordkap_s2_B	nordkap	2	B	parent	OPP	_v488beltbreak2	Core destroyed	453	0	50	1120
v526_nordkap_s3_A	nordkap	3	A	v526	OPP	_v488beltbreak2	Core destroyed	186	0	90	1570
parent_nordkap_s3_A	nordkap	3	A	parent	US	inst_parent	Core destroyed	104	0	250	50
v526_nordkap_s3_B	nordkap	3	B	v526	US	inst_v526	Core destroyed	377	0	510	70
parent_nordkap_s3_B	nordkap	3	B	parent	US	inst_parent	Core destroyed	516	0	3460	3400
v526_nordkap_s4_A	nordkap	4	A	v526	OPP	_v488beltbreak2	Titanium collected (tiebreak)	1000	0	170	220
parent_nordkap_s4_A	nordkap	4	A	parent	US	inst_parent	Core destroyed	493	0	150	180
v526_nordkap_s4_B	nordkap	4	B	v526	OPP	_v488beltbreak2	Titanium collected (tiebreak)	1000	0	0	2390
parent_nordkap_s4_B	nordkap	4	B	parent	OPP	_v488beltbreak2	Core destroyed	204	0	150	1260
v526_nordkap_s5_A	nordkap	5	A	v526	OPP	_v488beltbreak2	Core destroyed	726	0	50	1200
parent_nordkap_s5_A	nordkap	5	A	parent	US	inst_parent	Core destroyed	203	0	2090	60
v526_nordkap_s5_B	nordkap	5	B	v526	US	inst_v526	Core destroyed	285	0	680	180
parent_nordkap_s5_B	nordkap	5	B	parent	US	inst_parent	Core destroyed	112	0	260	70
v526_nordkap_s6_A	nordkap	6	A	v526	OPP	_v488beltbreak2	Core destroyed	440	0	50	1840
parent_nordkap_s6_A	nordkap	6	A	parent	US	inst_parent	Core destroyed	213	0	120	60
v526_nordkap_s6_B	nordkap	6	B	v526	US	inst_v526	Core destroyed	536	0	0	160
parent_nordkap_s6_B	nordkap	6	B	parent	OPP	_v488beltbreak2	Core destroyed	250	0	130	2380
v526_yulerune_s1_A	yulerune	1	A	v526	US	inst_v526	Core destroyed	148	0	470	0
parent_yulerune_s1_A	yulerune	1	A	parent	US	inst_parent	Core destroyed	109	0	190	0
v526_yulerune_s1_B	yulerune	1	B	v526	US	inst_v526	Core destroyed	137	0	490	0
parent_yulerune_s1_B	yulerune	1	B	parent	US	inst_parent	Core destroyed	141	0	410	100
v526_yulerune_s2_A	yulerune	2	A	v526	US	inst_v526	Core destroyed	141	0	240	0
parent_yulerune_s2_A	yulerune	2	A	parent	US	inst_parent	Core destroyed	88	0	230	0
v526_yulerune_s2_B	yulerune	2	B	v526	OPP	_v488beltbreak2	Core destroyed	401	0	140	0
parent_yulerune_s2_B	yulerune	2	B	parent	US	inst_parent	Core destroyed	218	0	660	0
v526_yulerune_s3_A	yulerune	3	A	v526	US	inst_v526	Core destroyed	82	0	310	0
parent_yulerune_s3_A	yulerune	3	A	parent	US	inst_parent	Core destroyed	85	0	210	0
v526_yulerune_s3_B	yulerune	3	B	v526	US	inst_v526	Core destroyed	145	0	490	0
parent_yulerune_s3_B	yulerune	3	B	parent	US	inst_parent	Core destroyed	141	0	520	0
v526_yulerune_s4_A	yulerune	4	A	v526	US	inst_v526	Core destroyed	99	0	250	0
parent_yulerune_s4_A	yulerune	4	A	parent	US	inst_parent	Core destroyed	90	0	490	0
v526_yulerune_s4_B	yulerune	4	B	v526	US	inst_v526	Core destroyed	127	0	560	0
parent_yulerune_s4_B	yulerune	4	B	parent	US	inst_parent	Core destroyed	157	0	690	0
v526_yulerune_s5_A	yulerune	5	A	v526	US	inst_v526	Core destroyed	141	0	240	0
parent_yulerune_s5_A	yulerune	5	A	parent	US	inst_parent	Core destroyed	88	0	230	0
v526_yulerune_s5_B	yulerune	5	B	v526	US	inst_v526	Core destroyed	148	0	650	0
parent_yulerune_s5_B	yulerune	5	B	parent	US	inst_parent	Core destroyed	141	0	130	0
v526_yulerune_s6_A	yulerune	6	A	v526	US	inst_v526	Core destroyed	211	0	1990	0
parent_yulerune_s6_A	yulerune	6	A	parent	US	inst_parent	Core destroyed	112	0	190	0
v526_yulerune_s6_B	yulerune	6	B	v526	US	inst_v526	Core destroyed	920	0	5190	0
parent_yulerune_s6_B	yulerune	6	B	parent	US	inst_parent	Core destroyed	90	0	280	0
v526_antler_s1_A	antler	1	A	v526	US	inst_v526	Core destroyed	314	0	1020	680
parent_antler_s1_A	antler	1	A	parent	US	inst_parent	Core destroyed	612	0	3090	4430
v526_antler_s1_B	antler	1	B	v526	OPP	_v488beltbreak2	Core destroyed	434	0	1060	2800
parent_antler_s1_B	antler	1	B	parent	OPP	_v488beltbreak2	Core destroyed	662	0	4640	4670
v526_antler_s2_A	antler	2	A	v526	OPP	_v488beltbreak2	Core destroyed	130	0	600	1090
parent_antler_s2_A	antler	2	A	parent	US	inst_parent	Core destroyed	213	0	2480	800
v526_antler_s2_B	antler	2	B	v526	US	inst_v526	Core destroyed	655	0	3240	340
parent_antler_s2_B	antler	2	B	parent	US	inst_parent	Core destroyed	693	0	3720	80
v526_antler_s3_A	antler	3	A	v526	OPP	_v488beltbreak2	Core destroyed	163	0	510	480
parent_antler_s3_A	antler	3	A	parent	US	inst_parent	Core destroyed	131	0	420	230
v526_antler_s3_B	antler	3	B	v526	US	inst_v526	Core destroyed	138	0	500	220
parent_antler_s3_B	antler	3	B	parent	US	inst_parent	Core destroyed	168	0	960	410
v526_antler_s4_A	antler	4	A	v526	US	inst_v526	Core destroyed	915	0	4530	100
parent_antler_s4_A	antler	4	A	parent	OPP	_v488beltbreak2	Core destroyed	270	0	1500	1320
v526_antler_s4_B	antler	4	B	v526	US	inst_v526	Core destroyed	226	0	1270	110
parent_antler_s4_B	antler	4	B	parent	OPP	_v488beltbreak2	Core destroyed	210	0	850	890
v526_antler_s5_A	antler	5	A	v526	US	inst_v526	Core destroyed	220	0	1270	580
parent_antler_s5_A	antler	5	A	parent	OPP	_v488beltbreak2	Core destroyed	267	0	1290	1800
v526_antler_s5_B	antler	5	B	v526	US	inst_v526	Core destroyed	104	0	470	100
parent_antler_s5_B	antler	5	B	parent	OPP	_v488beltbreak2	Core destroyed	262	0	780	1800
v526_antler_s6_A	antler	6	A	v526	US	inst_v526	Core destroyed	648	0	1620	1700
parent_antler_s6_A	antler	6	A	parent	OPP	_v488beltbreak2	Core destroyed	268	0	850	2290
v526_antler_s6_B	antler	6	B	v526	OPP	_v488beltbreak2	Core destroyed	198	0	950	1390
parent_antler_s6_B	antler	6	B	parent	US	inst_parent	Core destroyed	149	0	460	240
v526_fjordgate_s1_A	fjordgate	1	A	v526	OPP	_v488beltbreak2	Core destroyed	268	0	640	670
parent_fjordgate_s1_A	fjordgate	1	A	parent	OPP	_v488beltbreak2	Core destroyed	127	0	580	740
v526_fjordgate_s1_B	fjordgate	1	B	v526	US	inst_v526	Core destroyed	189	0	1400	0
parent_fjordgate_s1_B	fjordgate	1	B	parent	US	inst_parent	Core destroyed	284	0	820	750
v526_fjordgate_s2_A	fjordgate	2	A	v526	US	inst_v526	Core destroyed	406	0	2110	1740
parent_fjordgate_s2_A	fjordgate	2	A	parent	OPP	_v488beltbreak2	Core destroyed	253	0	620	1970
v526_fjordgate_s2_B	fjordgate	2	B	v526	US	inst_v526	Core destroyed	233	0	390	0
parent_fjordgate_s2_B	fjordgate	2	B	parent	OPP	_v488beltbreak2	Core destroyed	152	0	370	1080
v526_fjordgate_s3_A	fjordgate	3	A	v526	OPP	_v488beltbreak2	Core destroyed	143	0	0	1030
parent_fjordgate_s3_A	fjordgate	3	A	parent	US	inst_parent	Core destroyed	155	0	960	30
v526_fjordgate_s3_B	fjordgate	3	B	v526	OPP	_v488beltbreak2	Titanium collected (tiebreak)	1000	0	4960	7260
parent_fjordgate_s3_B	fjordgate	3	B	parent	US	inst_parent	Core destroyed	168	0	790	520
v526_fjordgate_s4_A	fjordgate	4	A	v526	US	inst_v526	Titanium collected (tiebreak)	1000	0	2470	2460
parent_fjordgate_s4_A	fjordgate	4	A	parent	US	inst_parent	Core destroyed	173	0	1090	0
v526_fjordgate_s4_B	fjordgate	4	B	v526	US	inst_v526	Core destroyed	161	0	750	0
parent_fjordgate_s4_B	fjordgate	4	B	parent	US	inst_parent	Core destroyed	206	0	980	260
v526_fjordgate_s5_A	fjordgate	5	A	v526	OPP	_v488beltbreak2	Core destroyed	212	0	220	990
parent_fjordgate_s5_A	fjordgate	5	A	parent	OPP	_v488beltbreak2	Core destroyed	218	0	530	1820
v526_fjordgate_s5_B	fjordgate	5	B	v526	US	inst_v526	Core destroyed	193	0	570	260
parent_fjordgate_s5_B	fjordgate	5	B	parent	US	inst_parent	Core destroyed	141	0	390	130
v526_fjordgate_s6_A	fjordgate	6	A	v526	OPP	_v488beltbreak2	Core destroyed	369	0	1080	1860
parent_fjordgate_s6_A	fjordgate	6	A	parent	OPP	_v488beltbreak2	Core destroyed	187	0	170	1410
v526_fjordgate_s6_B	fjordgate	6	B	v526	OPP	_v488beltbreak2	Core destroyed	134	0	620	870
parent_fjordgate_s6_B	fjordgate	6	B	parent	OPP	_v488beltbreak2	Core destroyed	345	0	70	540
v526_midgard_s1_A	midgard	1	A	v526	OPP	_v488beltbreak2	Core destroyed	305	0	620	1260
parent_midgard_s1_A	midgard	1	A	parent	OPP	_v488beltbreak2	Core destroyed	777	0	790	690
v526_midgard_s1_B	midgard	1	B	v526	OPP	_v488beltbreak2	Core destroyed	309	0	750	700
parent_midgard_s1_B	midgard	1	B	parent	OPP	_v488beltbreak2	Core destroyed	389	0	490	1290
v526_midgard_s2_A	midgard	2	A	v526	OPP	_v488beltbreak2	Core destroyed	501	0	690	740
parent_midgard_s2_A	midgard	2	A	parent	US	inst_parent	Core destroyed	212	0	1600	620
v526_midgard_s2_B	midgard	2	B	v526	OPP	_v488beltbreak2	Core destroyed	272	0	890	1280
parent_midgard_s2_B	midgard	2	B	parent	US	inst_parent	Core destroyed	257	0	1040	720
v526_midgard_s3_A	midgard	3	A	v526	US	inst_v526	Core destroyed	433	0	750	770
parent_midgard_s3_A	midgard	3	A	parent	US	inst_parent	Core destroyed	243	0	2290	500
v526_midgard_s3_B	midgard	3	B	v526	OPP	_v488beltbreak2	Core destroyed	175	0	1140	1320
parent_midgard_s3_B	midgard	3	B	parent	OPP	_v488beltbreak2	Core destroyed	185	0	590	830
v526_midgard_s4_A	midgard	4	A	v526	OPP	_v488beltbreak2	Core destroyed	421	0	680	1140
parent_midgard_s4_A	midgard	4	A	parent	US	inst_parent	Core destroyed	246	0	1590	760
v526_midgard_s4_B	midgard	4	B	v526	OPP	_v488beltbreak2	Titanium collected (tiebreak)	1000	0	790	3050
parent_midgard_s4_B	midgard	4	B	parent	OPP	_v488beltbreak2	Core destroyed	253	0	740	1000
v526_midgard_s5_A	midgard	5	A	v526	US	inst_v526	Core destroyed	204	0	1550	620
parent_midgard_s5_A	midgard	5	A	parent	OPP	_v488beltbreak2	Core destroyed	285	0	660	630
v526_midgard_s5_B	midgard	5	B	v526	OPP	_v488beltbreak2	Titanium collected (tiebreak)	1000	0	590	900
parent_midgard_s5_B	midgard	5	B	parent	US	inst_parent	Core destroyed	210	0	1770	600
v526_midgard_s6_A	midgard	6	A	v526	OPP	_v488beltbreak2	Core destroyed	421	0	680	1140
parent_midgard_s6_A	midgard	6	A	parent	OPP	_v488beltbreak2	Core destroyed	445	0	710	800
v526_midgard_s6_B	midgard	6	B	v526	OPP	_v488beltbreak2	Core destroyed	212	0	550	1960
parent_midgard_s6_B	midgard	6	B	parent	OPP	_v488beltbreak2	Harvesters (tiebreak)	1000	0	820	820
