tag	map	seed	seat	ours	cond	turn	arm	ourcore_dmg	ourcore_heal	ourcore_hp_calc	oppcore_dmg	oppcore_heal	oppcore_hp_calc	heal_back	heal_back_ours	opp_harv_built	opp_belt_built	opp_harv_killed	opp_belt_killed	opp_eco_killed	fwd_gun_n	fwd_gun_first	gun_n	fwd_sent_n	fwd_sent_first	fwd_laun_n	fwd_laun_first	collar_bar_n	unknown_deltas
atoll_s1_A	atoll	1	A	US	Core destroyed	305	v522	0	0	500	1188	688	0	0.5791		5	16	0	3	3	0		5	4	172	3	7	6	
atoll_s1_B	atoll	1	B	OPP	Core destroyed	298	v522	900	392	-8	0	0	500		0.4356	4	13	0	0	0	0		2	0		3	7	8	
atoll_s2_A	atoll	2	A	OPP	Core destroyed	269	v522	504	0	-4	0	0	500		0.0	4	15	0	2	2	0		2	0		4	7	5	
atoll_s2_B	atoll	2	B	US	Core destroyed	376	v522	1188	1188	500	612	104	-8	0.1699	1.0	3	16	0	3	3	0		4	1	308	3	7	11	
atoll_s3_A	atoll	3	A	OPP	Core destroyed	285	v522	720	208	-12	0	0	500		0.2889	4	16	0	0	0	0		3	0		3	7	38	
atoll_s3_B	atoll	3	B	US	Core destroyed	184	v522	432	236	304	504	0	-4	0.0	0.5463	5	15	0	3	3	0		0	1	120	4	7	16	
drakkarfjord_s1_A	drakkarfjord	1	A	US	Core destroyed	106	v522	0	0	500	630	128	-2	0.2032		3	17	0	0	0	0		0	1	36	1	13	11	
drakkarfjord_s1_B	drakkarfjord	1	B	US	Core destroyed	116	v522	0	0	500	684	180	-4	0.2632		3	14	0	0	0	0		0	1	40	1	13	12	
drakkarfjord_s2_A	drakkarfjord	2	A	US	Titanium collected (tiebreak)	1000	v522	1332	1332	500	450	450	500	1.0	1.0	5	50	0	1	1	0		2	1	92	2	13	16	
drakkarfjord_s2_B	drakkarfjord	2	B	US	Core destroyed	96	v522	0	0	500	504	0	-4	0.0		3	14	0	0	0	0		0	1	40	1	13	13	
drakkarfjord_s3_A	drakkarfjord	3	A	US	Core destroyed	99	v522	0	0	500	504	0	-4	0.0		2	16	0	0	0	0		0	1	43	1	13	14	
drakkarfjord_s3_B	drakkarfjord	3	B	US	Core destroyed	121	v522	0	0	500	720	216	-4	0.3		2	16	0	0	0	0		0	1	41	1	13	13	
glacierkeep_s1_A	glacierkeep	1	A	US	Core destroyed	112	v522	0	0	500	504	0	-4	0.0		3	17	0	0	0	0		0	1	52	2	9	11	
glacierkeep_s1_B	glacierkeep	1	B	US	Core destroyed	353	v522	0	0	500	1350	846	-4	0.6267		6	40	0	0	0	0		1	1	91	3	9	14	
glacierkeep_s2_A	glacierkeep	2	A	US	Core destroyed	129	v522	0	0	500	504	0	-4	0.0		3	18	0	0	0	0		0	1	52	2	9	11	
glacierkeep_s2_B	glacierkeep	2	B	OPP	Core destroyed	537	v522	504	0	-4	0	0	500		0.0	5	38	0	0	0	0		1	0		4	9	14	
glacierkeep_s3_A	glacierkeep	3	A	US	Core destroyed	146	v522	756	664	408	504	0	-4	0.0	0.8783	2	19	0	0	0	0		0	1	69	2	9	9	
glacierkeep_s3_B	glacierkeep	3	B	US	Core destroyed	221	v522	0	0	500	504	0	-4	0.0		4	25	0	0	0	0		0	1	114	3	9	12	
midgard_s1_A	midgard	1	A	US	Titanium collected (tiebreak)	1000	v522	0	0	500	2484	2484	500	1.0		6	16	2	6	8	2	41	4	1	240	0		9	
midgard_s1_B	midgard	1	B	US	Core destroyed	485	v522	1692	1228	36	504	0	-4	0.0	0.7258	7	44	3	15	18	2	38	4	1	336	0		10	
midgard_s2_A	midgard	2	A	OPP	Core destroyed	166	v522	504	0	-4	468	454	486	0.9701	0.0	7	32	1	5	6	0		1	1	53	0		5	
