tag	map	seed	seat	ours	turn	n_seats	rounds	sealed_r	live_r	funded_r	livefund_r	overlap_r	overlap_first	seal_only_r	shot_only_r	dmg_in	heal_in	net_in	dmg_out	heal_out	net_out	net_per_overlap	net_per_nonoverlap
atoll_s1_A	atoll	1	A	US	305	8	305	0	86	284	86	0	-1	0	86	0	0		916	416	500		1.6393
atoll_s1_B	atoll	1	B	OPP	298	8	298	0	0	269	0	0	-1	0	0	0	0		0	0	0		0.0
atoll_s2_A	atoll	2	A	OPP	269	8	269	0	0	177	0	0	-1	0	0	0	0		0	0	0		0.0
atoll_s2_B	atoll	2	B	US	376	8	376	279	68	180	68	34	308	245	34	306	0	306	254	52	202	9.0	0.5906
atoll_s3_A	atoll	3	A	OPP	285	8	285	0	0	197	0	0	-1	0	0	0	0		0	0	0		0.0
atoll_s3_B	atoll	3	B	US	184	8	184	0	64	144	38	0	-1	0	38	0	0		504	0	504		2.7391
drakkarfjord_s1_A	drakkarfjord	1	A	US	106	8	106	30	70	92	70	24	36	6	46	216	0	216	350	64	286	9.0	3.4878
drakkarfjord_s1_B	drakkarfjord	1	B	US	116	8	116	39	76	102	76	28	40	11	48	252	0	252	340	88	252	9.0	2.8636
drakkarfjord_s2_A	drakkarfjord	2	A	US	1000	8	1000	36	908	84	17	0	-1	36	17	0	0		446	446	0		0.0
drakkarfjord_s2_B	drakkarfjord	2	B	US	96	8	96	54	56	80	54	48	40	6	6	414	0	414	90	0	90	8.625	1.875
drakkarfjord_s3_A	drakkarfjord	3	A	US	99	8	99	56	56	85	56	46	48	10	10	414	0	414	90	0	90	9.0	1.6981
drakkarfjord_s3_B	drakkarfjord	3	B	US	121	8	121	33	80	107	80	23	41	10	57	198	0	198	414	108	306	8.6087	3.1224
glacierkeep_s1_A	glacierkeep	1	A	US	112	8	112	84	60	13	13	13	60	71	0	0	0	0	504	0	504	0.0	5.0909
glacierkeep_s1_B	glacierkeep	1	B	US	353	8	353	137	262	145	72	0	-1	137	72	0	0		1010	506	504		1.4278
glacierkeep_s2_A	glacierkeep	2	A	US	129	8	129	101	77	9	9	9	60	92	0	0	0	0	504	0	504	0.0	4.2
glacierkeep_s2_B	glacierkeep	2	B	OPP	537	8	537	114	0	153	0	0	-1	114	0	0	0		0	0	0		0.0
glacierkeep_s3_A	glacierkeep	3	A	US	146	8	146	1	77	75	23	1	71	0	22	0	0	0	504	0	504	0.0	3.4759
glacierkeep_s3_B	glacierkeep	3	B	US	221	8	221	90	107	99	3	3	114	87	0	18	0	18	486	0	486	6.0	2.2294
midgard_s1_A	midgard	1	A	US	1000	8	1000	0	775	242	26	0	-1	0	26	0	0		2048	2048	0		0.0
midgard_s1_B	midgard	1	B	US	485	8	485	0	149	316	13	0	-1	0	13	0	0		504	0	504		1.0392
midgard_s2_A	midgard	2	A	OPP	166	8	166	0	113	59	27	0	-1	0	27	0	0		402	388	14		0.0843
midgard_s2_B	midgard	2	B	OPP	481	8	481	0	6	148	6	0	-1	0	6	0	0		0	0	0		0.0
midgard_s3_A	midgard	3	A	US	725	8	725	0	361	551	195	0	-1	0	195	0	0		504	0	504		0.6952
midgard_s3_B	midgard	3	B	US	310	8	310	0	61	298	61	0	-1	0	61	0	0		574	64	510		1.6452
nordkap_s1_A	nordkap	1	A	US	258	8	258	221	211	34	5	5	55	216	0	36	0	36	468	0	468	7.2	1.8498
nordkap_s1_B	nordkap	1	B	US	141	8	141	120	132	45	45	33	21	87	12	72	0	72	432	0	432	2.1818	4.0
nordkap_s2_A	nordkap	2	A	US	354	8	354	10	280	148	89	6	82	4	83	54	0	54	1454	1008	446	9.0	1.2816
nordkap_s2_B	nordkap	2	B	OPP	273	8	273	163	36	254	28	13	260	150	15	108	0	108	126	0	126	8.3077	0.4846
nordkap_s3_A	nordkap	3	A	US	1000	8	1000	143	320	677	33	1	60	142	32	0	0	0	1040	882	158	0.0	0.1582
nordkap_s3_B	nordkap	3	B	US	141	8	141	120	132	45	45	33	21	87	12	72	0	72	432	0	432	2.1818	4.0
yulerune_s1_A	yulerune	1	A	US	1000	8	1000	0	0	278	0	0	-1	0	0	0	0		0	0	0		0.0
yulerune_s1_B	yulerune	1	B	US	426	8	426	0	115	379	111	0	-1	0	111	0	0		660	156	504		1.1831
yulerune_s2_A	yulerune	2	A	US	179	8	179	0	62	169	62	0	-1	0	62	0	0		556	52	504		2.8156
yulerune_s2_B	yulerune	2	B	OPP	309	8	309	0	0	294	0	0	-1	0	0	0	0		0	0	0		0.0
yulerune_s3_A	yulerune	3	A	US	228	8	228	0	57	205	49	0	-1	0	49	0	0		504	0	504		2.2105
yulerune_s3_B	yulerune	3	B	US	229	8	229	0	56	215	56	0	-1	0	56	0	0		504	0	504		2.2009
atoll_s4_A	atoll	4	A	US	244	8	244	34	56	229	56	34	192	0	22	306	0	306	198	0	198	9.0	0.9429
atoll_s4_B	atoll	4	B	US	469	8	469	0	351	452	343	0	-1	0	343	0	0		1828	1320	508		1.0832
atoll_s5_A	atoll	5	A	US	493	8	493	0	64	452	31	0	-1	0	31	0	0		504	0	504		1.0223
atoll_s5_B	atoll	5	B	US	116	8	116	0	56	107	56	0	-1	0	56	0	0		504	0	504		4.3448
atoll_s6_A	atoll	6	A	US	234	8	234	0	70	227	70	0	-1	0	70	0	0		632	124	508		2.1709
atoll_s6_B	atoll	6	B	US	226	8	226	29	95	213	95	0	-1	29	95	0	0		696	188	508		2.2478
drakkarfjord_s4_A	drakkarfjord	4	A	US	88	8	88	57	56	73	55	55	32	2	0	486	0	486	18	0	18	8.8364	0.5455
drakkarfjord_s4_B	drakkarfjord	4	B	US	250	8	250	0	137	234	135	0	-1	0	135	0	0		504	0	504		2.016
drakkarfjord_s5_A	drakkarfjord	5	A	US	101	8	101	52	56	85	54	49	45	3	5	414	0	414	90	0	90	8.449	1.7308
drakkarfjord_s5_B	drakkarfjord	5	B	US	122	8	122	29	82	108	82	20	40	9	62	180	0	180	442	116	326	9.0	3.1961
drakkarfjord_s6_A	drakkarfjord	6	A	US	106	8	106	30	70	92	70	24	36	6	46	216	0	216	350	64	286	9.0	3.4878
drakkarfjord_s6_B	drakkarfjord	6	B	US	282	8	282	67	242	222	196	52	40	15	144	468	0	468	766	730	36	9.0	0.1565
glacierkeep_s4_A	glacierkeep	4	A	OPP	581	8	581	22	0	376	0	0	-1	22	0	0	0		0	0	0		0.0
glacierkeep_s4_B	glacierkeep	4	B	US	1000	8	1000	77	386	478	40	4	84	73	36	18	0	18	918	936	-18	4.5	-0.0181
glacierkeep_s5_A	glacierkeep	5	A	US	110	8	110	82	58	14	14	14	56	68	0	0	0	0	504	0	504	0.0	5.25
glacierkeep_s5_B	glacierkeep	5	B	OPP	629	8	629	529	200	77	0	0	-1	529	0	0	0		18	0	18		0.0286
glacierkeep_s6_A	glacierkeep	6	A	US	177	8	177	4	85	91	27	0	-1	4	27	0	0		504	0	504		2.8475
glacierkeep_s6_B	glacierkeep	6	B	US	217	8	217	96	109	93	3	3	108	93	0	18	0	18	486	0	486	6.0	2.271
midgard_s4_A	midgard	4	A	OPP	177	8	177	0	112	81	23	0	-1	0	23	0	0		404	170	234		1.322
midgard_s4_B	midgard	4	B	US	184	8	184	0	133	174	130	0	-1	0	130	0	0		672	156	516		2.8043
midgard_s5_A	midgard	5	A	OPP	501	8	501	0	0	168	0	0	-1	0	0	0	0		0	0	0		0.0
midgard_s5_B	midgard	5	B	US	301	8	301	0	61	256	57	0	-1	0	57	0	0		504	0	504		1.6744
midgard_s6_A	midgard	6	A	US	257	8	257	0	89	181	20	0	-1	0	20	0	0		504	0	504		1.9611
midgard_s6_B	midgard	6	B	US	849	8	849	0	761	710	632	0	-1	0	632	0	0		504	0	504		0.5936
nordkap_s4_A	nordkap	4	A	OPP	458	8	458	0	137	239	14	0	-1	0	14	0	0		420	420	0		0.0
nordkap_s4_B	nordkap	4	B	US	256	8	256	0	118	243	112	0	-1	0	112	0	0		838	332	506		1.9766
nordkap_s5_A	nordkap	5	A	US	277	8	277	27	270	143	143	0	-1	27	143	0	0		504	0	504		1.8195
nordkap_s5_B	nordkap	5	B	US	348	8	348	0	87	338	87	0	-1	0	87	0	0		604	96	508		1.4598
nordkap_s6_A	nordkap	6	A	US	544	8	544	483	438	462	416	416	128	67	0	504	0	504	0	0	0	1.2115	0.0
nordkap_s6_B	nordkap	6	B	US	346	8	346	0	138	333	132	0	-1	0	132	0	0		504	0	504		1.4566
yulerune_s4_A	yulerune	4	A	US	625	8	625	0	177	430	12	0	-1	0	12	0	0		504	0	504		0.8064
yulerune_s4_B	yulerune	4	B	OPP	387	8	387	0	0	147	0	0	-1	0	0	0	0		0	0	0		0.0
yulerune_s5_A	yulerune	5	A	OPP	201	8	201	0	7	155	7	0	-1	0	7	0	0		0	0	0		0.0
yulerune_s5_B	yulerune	5	B	OPP	115	8	115	0	0	52	0	0	-1	0	0	0	0		0	0	0		0.0
yulerune_s6_A	yulerune	6	A	US	231	8	231	0	46	219	46	0	-1	0	46	0	0		518	16	502		2.1732
yulerune_s6_B	yulerune	6	B	OPP	232	8	232	0	20	210	16	0	-1	0	16	0	0		162	0	162		0.6983
atoll_s7_A	atoll	7	A	OPP	148	8	148	0	18	110	15	0	-1	0	15	0	0		144	0	144		0.973
atoll_s7_B	atoll	7	B	US	111	8	111	0	56	102	56	0	-1	0	56	0	0		504	0	504		4.5405
atoll_s8_A	atoll	8	A	US	1000	8	1000	0	135	953	109	0	-1	0	109	0	0		216	0	216		0.216
atoll_s8_B	atoll	8	B	OPP	533	8	533	0	79	514	79	0	-1	0	79	0	0		282	60	222		0.4165
atoll_s9_A	atoll	9	A	OPP	391	8	391	0	5	314	5	0	-1	0	5	0	0		36	36	0		0.0
atoll_s9_B	atoll	9	B	OPP	241	8	241	0	0	183	0	0	-1	0	0	0	0		0	0	0		0.0
drakkarfjord_s7_A	drakkarfjord	7	A	OPP	614	8	614	0	45	498	45	0	-1	0	45	0	0		346	346	0		0.0
drakkarfjord_s7_B	drakkarfjord	7	B	US	149	8	149	64	81	94	40	33	68	31	7	288	0	288	216	0	216	8.7273	1.8621
drakkarfjord_s8_A	drakkarfjord	8	A	US	101	8	101	52	56	85	54	49	45	3	5	414	0	414	90	0	90	8.449	1.7308
drakkarfjord_s8_B	drakkarfjord	8	B	US	101	8	101	63	56	87	56	56	45	7	0	504	0	504	0	0	0	9.0	0.0
drakkarfjord_s9_A	drakkarfjord	9	A	US	88	8	88	57	56	73	55	55	32	2	0	486	0	486	18	0	18	8.8364	0.5455
