tag	map	seed	seat	ours	turn	n_seats	rounds	sealed_r	live_r	funded_r	livefund_r	overlap_r	overlap_first	seal_only_r	shot_only_r	dmg_in	heal_in	net_in	dmg_out	heal_out	net_out	net_per_overlap	net_per_nonoverlap
atoll_s1_A	atoll	1	A	US	820	8	820	0	81	806	80	0	-1	0	80	0	0		516	8	508		0.6195
atoll_s1_B	atoll	1	B	US	765	8	765	0	424	754	424	0	-1	0	424	0	0		2156	1656	500		0.6536
atoll_s2_A	atoll	2	A	US	364	8	364	0	285	331	264	0	-1	0	264	0	0		1516	1016	500		1.3736
atoll_s2_B	atoll	2	B	US	127	8	127	0	61	102	49	0	-1	0	49	0	0		504	0	504		3.9685
atoll_s3_A	atoll	3	A	OPP	765	8	765	0	0	145	0	0	-1	0	0	0	0		0	0	0		0.0
atoll_s3_B	atoll	3	B	OPP	243	8	243	0	0	77	0	0	-1	0	0	0	0		0	0	0		0.0
drakkarfjord_s1_A	drakkarfjord	1	A	US	100	8	100	59	59	72	45	45	41	14	0	378	0	378	126	0	126	8.4	2.2909
drakkarfjord_s1_B	drakkarfjord	1	B	US	101	8	101	63	56	87	56	56	45	7	0	504	0	504	0	0	0	9.0	0.0
drakkarfjord_s2_A	drakkarfjord	2	A	US	90	8	90	57	56	75	55	55	34	2	0	486	0	486	18	0	18	8.8364	0.5143
drakkarfjord_s2_B	drakkarfjord	2	B	OPP	521	8	521	0	461	56	10	0	-1	0	10	0	0		1702	1344	358		0.6871
drakkarfjord_s3_A	drakkarfjord	3	A	US	99	8	99	55	62	85	62	47	37	8	15	414	0	414	116	24	92	8.8085	1.7692
drakkarfjord_s3_B	drakkarfjord	3	B	US	100	8	100	57	56	86	56	56	44	1	0	504	0	504	0	0	0	9.0	0.0
glacierkeep_s1_A	glacierkeep	1	A	US	444	8	444	235	95	413	92	14	267	221	78	90	0	90	666	248	418	6.4286	0.9721
glacierkeep_s1_B	glacierkeep	1	B	US	1000	8	1000	303	16	959	3	0	-1	303	3	0	0		36	0	36		0.036
glacierkeep_s2_A	glacierkeep	2	A	US	162	8	162	110	63	73	29	29	99	81	0	144	0	144	360	0	360	4.9655	2.7068
glacierkeep_s2_B	glacierkeep	2	B	US	143	8	143	10	59	91	51	5	87	5	46	54	0	54	450	0	450	10.8	3.2609
glacierkeep_s3_A	glacierkeep	3	A	US	120	8	120	75	56	104	56	56	64	19	0	504	0	504	0	0	0	9.0	0.0
glacierkeep_s3_B	glacierkeep	3	B	US	1000	8	1000	89	188	735	3	3	96	86	0	18	0	18	678	696	-18	6.0	-0.0181
midgard_s1_A	midgard	1	A	US	217	8	217	0	77	164	32	0	-1	0	32	0	0		504	0	504		2.3226
midgard_s1_B	midgard	1	B	US	189	8	189	0	79	130	30	0	-1	0	30	0	0		504	0	504		2.6667
midgard_s2_A	midgard	2	A	US	197	8	197	0	81	143	36	0	-1	0	36	0	0		504	0	504		2.5584
midgard_s2_B	midgard	2	B	OPP	172	8	172	0	0	59	0	0	-1	0	0	0	0		0	0	0		0.0
midgard_s3_A	midgard	3	A	US	305	8	305	0	89	211	20	0	-1	0	20	0	0		504	0	504		1.6525
midgard_s3_B	midgard	3	B	OPP	203	8	203	0	0	183	0	0	-1	0	0	0	0		0	0	0		0.0
nordkap_s1_A	nordkap	1	A	US	308	8	308	0	56	295	56	0	-1	0	56	0	0		504	0	504		1.6364
nordkap_s1_B	nordkap	1	B	US	161	8	161	0	154	59	59	0	-1	0	59	0	0		504	0	504		3.1304
nordkap_s2_A	nordkap	2	A	US	284	8	284	0	56	272	56	0	-1	0	56	0	0		504	0	504		1.7746
nordkap_s2_B	nordkap	2	B	OPP	248	8	248	0	103	162	77	0	-1	0	77	0	0		0	0	0		0.0
nordkap_s3_A	nordkap	3	A	US	605	8	605	132	582	187	177	109	43	23	68	36	0	36	806	338	468	0.3303	0.9435
nordkap_s3_B	nordkap	3	B	US	186	8	186	139	120	47	25	12	136	127	13	0	0	0	504	0	504	0.0	2.8966
yulerune_s1_A	yulerune	1	A	US	132	8	132	0	104	68	51	0	-1	0	51	0	0		504	0	504		3.8182
yulerune_s1_B	yulerune	1	B	OPP	293	8	293	0	57	182	9	0	-1	0	9	0	0		306	0	306		1.0444
yulerune_s2_A	yulerune	2	A	US	322	8	322	0	48	301	48	0	-1	0	48	0	0		504	0	504		1.5652
yulerune_s2_B	yulerune	2	B	US	1000	8	1000	0	72	784	16	0	-1	0	16	0	0		216	0	216		0.216
yulerune_s3_A	yulerune	3	A	OPP	468	8	468	0	440	121	104	0	-1	0	104	0	0		0	0	0		0.0
yulerune_s3_B	yulerune	3	B	OPP	377	8	377	0	0	141	0	0	-1	0	0	0	0		0	0	0		0.0
atoll_s4_A	atoll	4	A	OPP	707	8	707	0	0	632	0	0	-1	0	0	0	0		0	0	0		0.0
atoll_s4_B	atoll	4	B	OPP	1000	8	1000	0	918	151	78	0	-1	0	78	0	0		980	980	0		0.0
atoll_s5_A	atoll	5	A	US	139	8	139	0	57	112	37	0	-1	0	37	0	0		504	0	504		3.6259
atoll_s5_B	atoll	5	B	US	232	8	232	0	98	222	98	0	-1	0	98	0	0		694	188	506		2.181
atoll_s6_A	atoll	6	A	OPP	215	8	215	0	0	85	0	0	-1	0	0	0	0		0	0	0		0.0
atoll_s6_B	atoll	6	B	OPP	340	8	340	0	0	52	0	0	-1	0	0	0	0		0	0	0		0.0
drakkarfjord_s4_A	drakkarfjord	4	A	US	105	8	105	42	70	91	70	37	35	5	33	324	0	324	242	60	182	8.7568	2.6765
drakkarfjord_s4_B	drakkarfjord	4	B	US	117	8	117	73	60	103	60	47	57	26	13	414	0	414	106	16	90	8.8085	1.2857
drakkarfjord_s5_A	drakkarfjord	5	A	OPP	712	8	712	0	37	691	33	0	-1	0	33	0	0		0	0	0		0.0
drakkarfjord_s5_B	drakkarfjord	5	B	US	121	8	121	33	80	107	80	23	41	10	57	198	0	198	414	108	306	8.6087	3.1224
drakkarfjord_s6_A	drakkarfjord	6	A	US	99	8	99	56	56	85	56	46	48	10	10	414	0	414	90	0	90	9.0	1.6981
drakkarfjord_s6_B	drakkarfjord	6	B	US	96	8	96	54	56	80	54	48	40	6	6	414	0	414	90	0	90	8.625	1.875
glacierkeep_s4_A	glacierkeep	4	A	US	119	8	119	71	56	76	56	51	63	20	5	450	0	450	54	0	54	8.8235	0.7941
glacierkeep_s4_B	glacierkeep	4	B	US	1000	8	1000	84	0	916	0	0	-1	84	0	0	0		0	0	0		0.0
glacierkeep_s5_A	glacierkeep	5	A	US	162	8	162	110	63	73	29	29	99	81	0	144	0	144	360	0	360	4.9655	2.7068
glacierkeep_s5_B	glacierkeep	5	B	US	217	8	217	96	109	93	3	3	108	93	0	18	0	18	486	0	486	6.0	2.271
glacierkeep_s6_A	glacierkeep	6	A	US	153	8	153	108	57	133	53	53	96	55	0	468	0	468	36	0	36	8.8302	0.36
glacierkeep_s6_B	glacierkeep	6	B	OPP	838	8	838	167	574	302	94	23	128	144	71	198	0	198	1352	1550	-198	8.6087	-0.2429
midgard_s4_A	midgard	4	A	OPP	641	8	641	0	449	149	16	0	-1	0	16	0	0		1690	1248	442		0.6895
midgard_s4_B	midgard	4	B	US	273	8	273	0	73	232	42	0	-1	0	42	0	0		504	0	504		1.8462
midgard_s5_A	midgard	5	A	OPP	187	8	187	0	0	132	0	0	-1	0	0	0	0		0	0	0		0.0
midgard_s5_B	midgard	5	B	US	127	8	127	0	80	114	80	0	-1	0	80	0	0		604	104	500		3.937
midgard_s6_A	midgard	6	A	US	260	8	260	0	204	244	204	0	-1	0	204	0	0		504	0	504		1.9385
midgard_s6_B	midgard	6	B	OPP	175	8	175	0	123	162	123	0	-1	0	123	0	0		0	0	0		0.0
nordkap_s4_A	nordkap	4	A	US	1000	8	1000	306	864	153	30	24	136	282	6	216	0	216	630	846	-216	9.0	-0.2213
nordkap_s4_B	nordkap	4	B	US	290	8	290	222	62	279	58	50	56	172	8	396	0	396	108	0	108	7.92	0.45
nordkap_s5_A	nordkap	5	A	US	177	8	177	96	102	82	35	34	75	62	1	288	0	288	212	0	212	8.4706	1.4825
nordkap_s5_B	nordkap	5	B	OPP	309	8	309	268	302	201	201	168	41	100	33	18	0	18	450	0	450	0.1071	3.1915
nordkap_s6_A	nordkap	6	A	US	225	8	225	202	165	51	8	8	60	194	0	18	0	18	486	0	486	2.25	2.2396
nordkap_s6_B	nordkap	6	B	US	121	8	121	83	114	68	68	39	38	44	29	270	0	270	234	0	234	6.9231	2.8537
yulerune_s4_A	yulerune	4	A	US	305	8	305	0	258	138	102	0	-1	0	102	0	0		1044	544	500		1.6393
yulerune_s4_B	yulerune	4	B	US	249	8	249	0	93	162	16	0	-1	0	16	0	0		504	0	504		2.0241
yulerune_s5_A	yulerune	5	A	US	688	8	688	0	65	582	65	0	-1	0	65	0	0		504	0	504		0.7326
yulerune_s5_B	yulerune	5	B	OPP	248	8	248	0	0	112	0	0	-1	0	0	0	0		0	0	0		0.0
yulerune_s6_A	yulerune	6	A	OPP	429	8	429	0	361	261	206	0	-1	0	206	0	0		0	0	0		0.0
yulerune_s6_B	yulerune	6	B	OPP	240	8	240	0	0	229	0	0	-1	0	0	0	0		0	0	0		0.0
atoll_s7_A	atoll	7	A	US	891	8	891	0	612	833	571	0	-1	0	571	0	0		640	140	500		0.5612
atoll_s7_B	atoll	7	B	OPP	583	8	583	0	0	452	0	0	-1	0	0	0	0		0	0	0		0.0
atoll_s8_A	atoll	8	A	OPP	1000	8	1000	0	760	527	302	0	-1	0	302	0	0		2226	2226	0		0.0
atoll_s8_B	atoll	8	B	OPP	144	8	144	0	0	135	0	0	-1	0	0	0	0		0	0	0		0.0
atoll_s9_A	atoll	9	A	US	403	8	403	0	203	242	49	0	-1	0	49	0	0		718	214	504		1.2506
atoll_s9_B	atoll	9	B	US	190	8	190	0	96	180	96	0	-1	0	96	0	0		684	176	508		2.6737
drakkarfjord_s7_A	drakkarfjord	7	A	US	101	8	101	52	56	86	55	50	45	2	5	432	0	432	72	0	72	8.64	1.4118
drakkarfjord_s7_B	drakkarfjord	7	B	US	122	8	122	29	82	108	82	20	40	9	62	180	0	180	442	116	326	9.0	3.1961
drakkarfjord_s8_A	drakkarfjord	8	A	US	106	8	106	30	70	92	70	24	36	6	46	216	0	216	350	64	286	9.0	3.4878
drakkarfjord_s8_B	drakkarfjord	8	B	US	101	8	101	63	56	87	56	56	45	7	0	504	0	504	0	0	0	9.0	0.0
drakkarfjord_s9_A	drakkarfjord	9	A	US	116	8	116	49	56	102	56	49	63	0	7	450	0	450	50	0	50	9.1837	0.7463
drakkarfjord_s9_B	drakkarfjord	9	B	US	632	8	632	19	559	423	364	7	73	12	357	54	0	54	2078	1624	454	7.7143	0.7264
glacierkeep_s7_A	glacierkeep	7	A	US	146	8	146	87	62	59	14	14	92	73	0	0	0	0	504	0	504	0.0	3.8182
glacierkeep_s7_B	glacierkeep	7	B	US	321	8	321	276	157	83	7	7	164	269	0	54	0	54	450	0	450	7.7143	1.4331
glacierkeep_s8_A	glacierkeep	8	A	US	177	8	177	134	114	61	20	20	68	114	0	0	0	0	504	0	504	0.0	3.2102
glacierkeep_s8_B	glacierkeep	8	B	OPP	1000	8	1000	924	884	42	0	0	-1	924	0	0	0		0	0	0		0.0
glacierkeep_s9_A	glacierkeep	9	A	OPP	311	8	311	22	0	220	0	0	-1	22	0	0	0		0	0	0		0.0
glacierkeep_s9_B	glacierkeep	9	B	US	217	8	217	90	103	99	3	3	114	87	0	18	0	18	486	0	486	6.0	2.271
midgard_s7_A	midgard	7	A	OPP	197	8	197	0	147	80	42	0	-1	0	42	0	0		0	0	0		0.0
midgard_s7_B	midgard	7	B	OPP	193	8	193	0	0	134	0	0	-1	0	0	0	0		0	0	0		0.0
midgard_s8_A	midgard	8	A	US	257	8	257	0	56	234	56	0	-1	0	56	0	0		504	0	504		1.9611
midgard_s8_B	midgard	8	B	OPP	341	8	341	0	77	200	12	0	-1	0	12	0	0		306	0	306		0.8974
midgard_s9_A	midgard	9	A	US	364	8	364	0	52	344	52	0	-1	0	52	0	0		504	0	504		1.3846
midgard_s9_B	midgard	9	B	US	303	8	303	0	246	285	238	0	-1	0	238	0	0		504	0	504		1.6634
nordkap_s7_A	nordkap	7	A	US	448	8	448	129	345	151	80	0	-1	129	80	0	0		1136	628	508		1.1339
nordkap_s7_B	nordkap	7	B	US	241	8	241	55	234	140	140	25	42	30	115	36	0	36	468	0	468	1.44	2.1667
nordkap_s8_A	nordkap	8	A	US	413	8	413	290	321	63	7	6	238	284	1	36	0	36	606	138	468	6.0	1.1499
nordkap_s8_B	nordkap	8	B	OPP	306	8	306	0	125	125	59	0	-1	0	59	0	0		0	0	0		0.0
nordkap_s9_A	nordkap	9	A	US	406	8	406	119	196	352	154	27	48	92	127	252	0	252	788	534	254	9.3333	0.6702
nordkap_s9_B	nordkap	9	B	OPP	349	8	349	290	281	64	10	0	-1	290	10	0	0		432	0	432		1.2378
yulerune_s7_A	yulerune	7	A	OPP	725	8	725	0	0	103	0	0	-1	0	0	0	0		0	0	0		0.0
yulerune_s7_B	yulerune	7	B	OPP	286	8	286	0	0	107	0	0	-1	0	0	0	0		0	0	0		0.0
yulerune_s8_A	yulerune	8	A	OPP	297	8	297	0	93	207	16	0	-1	0	16	0	0		504	0	504		1.697
yulerune_s8_B	yulerune	8	B	US	253	8	253	0	56	241	56	0	-1	0	56	0	0		504	0	504		1.9921
yulerune_s9_A	yulerune	9	A	US	256	8	256	0	56	246	56	0	-1	0	56	0	0		504	0	504		1.9688
yulerune_s9_B	yulerune	9	B	OPP	845	8	845	0	0	467	0	0	-1	0	0	0	0		0	0	0		0.0
atoll_s10_A	atoll	10	A	US	392	8	392	0	203	384	203	0	-1	0	203	0	0		1318	806	512		1.3061
atoll_s10_B	atoll	10	B	OPP	311	8	311	0	0	301	0	0	-1	0	0	0	0		0	0	0		0.0
atoll_s11_A	atoll	11	A	OPP	286	8	286	0	0	251	0	0	-1	0	0	0	0		0	0	0		0.0
atoll_s11_B	atoll	11	B	US	278	8	278	0	98	269	98	0	-1	0	98	0	0		694	188	506		1.8201
atoll_s12_A	atoll	12	A	US	1000	8	1000	0	928	78	13	0	-1	0	13	0	0		6092	5870	222		0.222
atoll_s12_B	atoll	12	B	US	318	8	318	0	110	309	110	0	-1	0	110	0	0		794	286	508		1.5975
drakkarfjord_s10_A	drakkarfjord	10	A	US	92	8	92	56	56	77	55	55	36	1	0	486	0	486	18	0	18	8.8364	0.4865
drakkarfjord_s10_B	drakkarfjord	10	B	US	618	8	618	19	545	409	350	7	73	12	343	54	0	54	2020	1560	460	7.7143	0.7529
drakkarfjord_s11_A	drakkarfjord	11	A	US	1000	8	1000	71	923	206	143	45	33	26	98	378	0	378	1870	2248	-378	8.4	-0.3958
drakkarfjord_s11_B	drakkarfjord	11	B	US	917	8	917	127	877	373	347	25	40	102	322	234	0	234	2276	2006	270	9.36	0.3027
drakkarfjord_s12_A	drakkarfjord	12	A	US	186	8	186	115	75	92	36	36	129	79	0	306	0	306	198	0	198	8.5	1.32
drakkarfjord_s12_B	drakkarfjord	12	B	US	696	8	696	25	482	515	315	0	-1	25	315	0	0		2056	1548	508		0.7299
glacierkeep_s10_A	glacierkeep	10	A	US	159	8	159	42	56	134	56	0	-1	42	56	0	0		504	0	504		3.1698
glacierkeep_s10_B	glacierkeep	10	B	US	617	8	617	96	501	102	55	12	116	84	43	108	0	108	840	444	396	9.0	0.6545
glacierkeep_s11_A	glacierkeep	11	A	US	141	8	141	113	89	6	6	6	60	107	0	0	0	0	504	0	504	0.0	3.7333
glacierkeep_s11_B	glacierkeep	11	B	OPP	805	8	805	81	709	107	40	12	96	69	28	72	0	72	1990	1934	56	6.0	0.0706
glacierkeep_s12_A	glacierkeep	12	A	US	143	8	143	100	55	100	55	55	63	45	0	486	0	486	18	0	18	8.8364	0.2045
glacierkeep_s12_B	glacierkeep	12	B	OPP	1000	8	1000	898	748	42	0	0	-1	898	0	0	0		0	0	0		0.0
midgard_s10_A	midgard	10	A	US	1000	8	1000	0	950	236	206	0	-1	0	206	0	0		0	0	0		0.0
midgard_s10_B	midgard	10	B	US	256	8	256	0	67	244	67	0	-1	0	67	0	0		590	86	504		1.9688
midgard_s11_A	midgard	11	A	OPP	447	8	447	0	19	177	19	0	-1	0	19	0	0		126	0	126		0.2819
midgard_s11_B	midgard	11	B	US	256	8	256	0	67	244	67	0	-1	0	67	0	0		590	86	504		1.9688
midgard_s12_A	midgard	12	A	OPP	285	8	285	0	236	197	161	0	-1	0	161	0	0		0	0	0		0.0
midgard_s12_B	midgard	12	B	US	533	8	533	387	473	316	269	196	148	191	73	90	0	90	414	0	414	0.4592	1.2285
