tag	map	seed	ord	winner	cond	turn
glacierkeep_g5	glacierkeep	7305	B	_v488beltbreak2	Core destroyed	397
glacierkeep_g7	glacierkeep	7307	B	_v488beltbreak2	Core destroyed	265
nordkap_g1	nordkap	7301	B	_v488beltbreak2	Core destroyed	116
nordkap_g3	nordkap	7303	B	_v488beltbreak2	Core destroyed	229
atoll_g2	atoll	7302	A	arm	Core destroyed	443
glacierkeep_g0	glacierkeep	7300	A	_v488beltbreak2	Core destroyed	389
