tag	map	seed	ord	winner	cond	turn
glacierkeep_g5	glacierkeep	7305	B	arm2	Titanium collected (tiebreak)	1000
glacierkeep_g7	glacierkeep	7307	B	arm2	Harvesters (tiebreak)	1000
glacierkeep_g0	glacierkeep	7300	A	_v488beltbreak2	Core destroyed	270
