tree=_v537socket	map=midgard	harv_built_pre=4	harv_built_post=2	first_rebuild_rnd=144	conv_built_pre=14	conv_built_post=9	famine_rnd=-1	mouth_rounds_post=296	deliv_sightings_post=64	run_raised=0	turret_built_post=2	afford_sentinel_rounds=132	sentinel_bar_ti=117	ti_final=260	final_harvesters=2	seed=100
tree=_v542wave	map=midgard	harv_built_pre=4	harv_built_post=3	first_rebuild_rnd=124	conv_built_pre=16	conv_built_post=7	famine_rnd=121	mouth_rounds_post=272	deliv_sightings_post=68	run_raised=0	turret_built_post=4	afford_sentinel_rounds=70	sentinel_bar_ti=118	ti_final=158	final_harvesters=3	seed=100
tree=scratchpad/s52_v542_build/ref/ref_no538	map=midgard	harv_built_pre=4	harv_built_post=2	first_rebuild_rnd=137	conv_built_pre=14	conv_built_post=9	famine_rnd=121	mouth_rounds_post=296	deliv_sightings_post=66	run_raised=0	turret_built_post=2	afford_sentinel_rounds=132	sentinel_bar_ti=117	ti_final=261	final_harvesters=2	seed=100
tree=scratchpad/s52_v542_build/ref/ref_no539	map=midgard	harv_built_pre=4	harv_built_post=3	first_rebuild_rnd=128	conv_built_pre=16	conv_built_post=7	famine_rnd=-1	mouth_rounds_post=266	deliv_sightings_post=67	run_raised=0	turret_built_post=4	afford_sentinel_rounds=70	sentinel_bar_ti=118	ti_final=158	final_harvesters=3	seed=100
tree=scratchpad/s52_v542_build/ref/ref_no541	map=midgard	harv_built_pre=4	harv_built_post=3	first_rebuild_rnd=124	conv_built_pre=16	conv_built_post=7	famine_rnd=121	mouth_rounds_post=272	deliv_sightings_post=68	run_raised=0	turret_built_post=4	afford_sentinel_rounds=70	sentinel_bar_ti=118	ti_final=158	final_harvesters=3	seed=100
tree=_v537socket	map=midgard	harv_built_pre=4	harv_built_post=1	first_rebuild_rnd=221	conv_built_pre=14	conv_built_post=6	famine_rnd=-1	mouth_rounds_post=216	deliv_sightings_post=45	run_raised=0	turret_built_post=1	afford_sentinel_rounds=104	sentinel_bar_ti=114	ti_final=214	final_harvesters=1	seed=180
tree=_v542wave	map=midgard	harv_built_pre=4	harv_built_post=3	first_rebuild_rnd=208	conv_built_pre=16	conv_built_post=7	famine_rnd=201	mouth_rounds_post=184	deliv_sightings_post=46	run_raised=0	turret_built_post=1	afford_sentinel_rounds=39	sentinel_bar_ti=118	ti_final=153	final_harvesters=3	seed=180
tree=scratchpad/s52_v542_build/ref/ref_no538	map=midgard	harv_built_pre=4	harv_built_post=1	first_rebuild_rnd=221	conv_built_pre=14	conv_built_post=7	famine_rnd=201	mouth_rounds_post=216	deliv_sightings_post=45	run_raised=0	turret_built_post=1	afford_sentinel_rounds=104	sentinel_bar_ti=115	ti_final=203	final_harvesters=1	seed=180
tree=scratchpad/s52_v542_build/ref/ref_no539	map=midgard	harv_built_pre=4	harv_built_post=3	first_rebuild_rnd=216	conv_built_pre=16	conv_built_post=7	famine_rnd=-1	mouth_rounds_post=178	deliv_sightings_post=45	run_raised=0	turret_built_post=1	afford_sentinel_rounds=39	sentinel_bar_ti=118	ti_final=153	final_harvesters=3	seed=180
tree=scratchpad/s52_v542_build/ref/ref_no541	map=midgard	harv_built_pre=4	harv_built_post=3	first_rebuild_rnd=208	conv_built_pre=16	conv_built_post=7	famine_rnd=201	mouth_rounds_post=184	deliv_sightings_post=46	run_raised=0	turret_built_post=1	afford_sentinel_rounds=39	sentinel_bar_ti=118	ti_final=153	final_harvesters=3	seed=180
tree=_v537socket	map=glacierkeep	harv_built_pre=1	harv_built_post=3	first_rebuild_rnd=244	conv_built_pre=13	conv_built_post=33	famine_rnd=-1	mouth_rounds_post=129	deliv_sightings_post=33	run_raised=0	turret_built_post=1	afford_sentinel_rounds=32	sentinel_bar_ti=105	ti_final=92	final_harvesters=3	seed=100
tree=_v542wave	map=glacierkeep	harv_built_pre=1	harv_built_post=3	first_rebuild_rnd=132	conv_built_pre=13	conv_built_post=33	famine_rnd=121	mouth_rounds_post=240	deliv_sightings_post=60	run_raised=0	turret_built_post=1	afford_sentinel_rounds=23	sentinel_bar_ti=105	ti_final=92	final_harvesters=3	seed=100
tree=scratchpad/s52_v542_build/ref/ref_no538	map=glacierkeep	harv_built_pre=1	harv_built_post=3	first_rebuild_rnd=132	conv_built_pre=13	conv_built_post=33	famine_rnd=121	mouth_rounds_post=240	deliv_sightings_post=60	run_raised=0	turret_built_post=1	afford_sentinel_rounds=23	sentinel_bar_ti=105	ti_final=92	final_harvesters=3	seed=100
tree=scratchpad/s52_v542_build/ref/ref_no539	map=glacierkeep	harv_built_pre=1	harv_built_post=3	first_rebuild_rnd=244	conv_built_pre=13	conv_built_post=33	famine_rnd=-1	mouth_rounds_post=129	deliv_sightings_post=33	run_raised=0	turret_built_post=1	afford_sentinel_rounds=32	sentinel_bar_ti=105	ti_final=92	final_harvesters=3	seed=100
tree=scratchpad/s52_v542_build/ref/ref_no541	map=glacierkeep	harv_built_pre=1	harv_built_post=3	first_rebuild_rnd=132	conv_built_pre=13	conv_built_post=33	famine_rnd=121	mouth_rounds_post=240	deliv_sightings_post=60	run_raised=0	turret_built_post=1	afford_sentinel_rounds=23	sentinel_bar_ti=105	ti_final=92	final_harvesters=3	seed=100
tree=_v537socket	map=glacierkeep	harv_built_pre=1	harv_built_post=3	first_rebuild_rnd=252	conv_built_pre=13	conv_built_post=33	famine_rnd=-1	mouth_rounds_post=121	deliv_sightings_post=31	run_raised=0	turret_built_post=0	afford_sentinel_rounds=36	sentinel_bar_ti=105	ti_final=85	final_harvesters=3	seed=180
tree=_v542wave	map=glacierkeep	harv_built_pre=1	harv_built_post=3	first_rebuild_rnd=224	conv_built_pre=13	conv_built_post=33	famine_rnd=201	mouth_rounds_post=142	deliv_sightings_post=36	run_raised=0	turret_built_post=0	afford_sentinel_rounds=19	sentinel_bar_ti=105	ti_final=85	final_harvesters=3	seed=180
tree=scratchpad/s52_v542_build/ref/ref_no538	map=glacierkeep	harv_built_pre=1	harv_built_post=3	first_rebuild_rnd=224	conv_built_pre=13	conv_built_post=33	famine_rnd=201	mouth_rounds_post=142	deliv_sightings_post=36	run_raised=0	turret_built_post=0	afford_sentinel_rounds=19	sentinel_bar_ti=105	ti_final=85	final_harvesters=3	seed=180
