arm	opp	map	seed	seat	md5	turns	cond	winner	tb
P0	OPP1	antler	5	A	15e5aad28841364b6a9ec2f0219c0e08	207	core_destroyed	A	0
P0	OPP1	antler	5	B	1a675452a715779df422e9cf37ee65fb	267	core_destroyed	B	0
P0	OPP1	archipelago	5	A	5d38e1fe393d785fe65f6a23de357f1d	447	core_destroyed	B	0
P0	OPP1	archipelago	5	B	5a04d453639a1708043c4ac8ab599e78	378	core_destroyed	B	0
P0	OPP1	auroraveil	5	A	5d15bd94752125bef28a9bf5f5fb1b3b	658	core_destroyed	A	0
P0	OPP1	auroraveil	5	B	5b3ddda2ed49cecda5e86dca88de559e	320	core_destroyed	B	0
P0	OPP1	bifrost	5	A	86757f43fb7773650e83a54138c69d71	110	core_destroyed	A	0
P0	OPP1	bifrost	5	B	fc6b797dd69c1f62c380b214fe1aa2f0	765	core_destroyed	B	0
P0	OPP1	drumlin	5	A	668a47ea509c5c7bb50adcc52780da3b	277	core_destroyed	A	0
P0	OPP1	drumlin	5	B	233b5f3b676851f7c3b5668cefbc5bfa	116	core_destroyed	B	0
P0	OPP1	eider	5	A	dd5caaa752985c8df8eddad76248da68	154	core_destroyed	A	0
P0	OPP1	eider	5	B	85b82e11538267a72b7d5b8ef1321f9e	184	core_destroyed	B	0
P0	OPP1	fimbulwinter	5	A	55d11a8a31e1075c2809148c52842145	342	core_destroyed	A	0
P0	OPP1	fimbulwinter	5	B	f81e07a4965ebfaa9249a88d97fd8600	199	core_destroyed	A	0
P0	OPP1	frostgate	5	A	e79af0ea7f3f3c3cdaa302a40053b204	105	core_destroyed	A	0
P0	OPP1	frostgate	5	B	832a72b28392f2af138037c099782121	293	core_destroyed	A	0
P0	OPP1	heart	5	A	894c993dce0a9f33cf90314daae76606	513	core_destroyed	A	0
P0	OPP1	heart	5	B	5f5b119476560ea34b5b67088dc4e064	1000	titanium_collected	A	0
P0	OPP1	helheim	5	A	3400383bf2dde8ad32f7301625f50a1e	698	core_destroyed	B	0
P0	OPP1	helheim	5	B	2301449dc8076c0110c4094b477402cd	341	core_destroyed	B	0
P0	OPP1	hive	5	A	53305f92fe113ff35134b9c88ef4060e	386	core_destroyed	A	0
P0	OPP1	hive	5	B	4e79e9ba2f5525654bdf350adf5606e8	151	core_destroyed	B	0
P0	OPP1	icefloe	5	A	b9a0236150032aa209bde902938f4808	164	core_destroyed	A	0
P0	OPP1	icefloe	5	B	007cf75b09b8b0beb220a1cae8e23187	177	core_destroyed	B	0
P0	OPP1	jackpot	5	A	631c6dcdbf27ff23c0a7b94b2f87a3d9	1000	titanium_collected	A	0
P0	OPP1	jackpot	5	B	e3745bd7d68be789f7561f48c98e7d1b	113	core_destroyed	B	0
P0	OPP1	lighthouse	5	A	ad140b23b9264b8971dc7777c4f7c601	429	core_destroyed	B	0
P0	OPP1	lighthouse	5	B	bbb41c6922c8cf6990440bef59ca267a	172	core_destroyed	B	0
P0	OPP1	longhouse	5	A	bb18d66e56886672db1e1cde7bc12a6e	209	core_destroyed	A	0
P0	OPP1	longhouse	5	B	4298061dfb00108b9e6d48b99daeb603	166	core_destroyed	B	0
P0	OPP1	meander	5	A	dd3a5f57692808468ad7ad9c95541228	591	core_destroyed	A	0
P0	OPP1	meander	5	B	d2d4248faa4b205c332eacde4b87a03b	204	core_destroyed	B	0
P0	OPP1	moonrise	5	A	5eb886122e364cb6a504713436e19dad	157	core_destroyed	B	0
P0	OPP1	moonrise	5	B	11e80ad621cb096a0058b44d88351f4b	460	core_destroyed	B	0
P0	OPP1	paths	5	A	5d943283cdd0302b49294e06f6f408aa	154	core_destroyed	A	0
P0	OPP1	paths	5	B	dd2797fa9bcd50c4d89b02b5d4e213b9	236	core_destroyed	B	0
P0	OPP1	royale	5	A	6c687c784513b0a7ed396becc1186923	320	core_destroyed	A	0
P0	OPP1	royale	5	B	cdd923f3a680db9a9cf93d7c523e59ed	447	core_destroyed	B	0
P0	OPP1	skald	5	A	5c00b102692a36a5e58f8863fc037f84	436	core_destroyed	A	0
P0	OPP1	skald	5	B	b12c5d7dae8ff11da325a87731243775	252	core_destroyed	B	0
