arm	opp	map	seed	seat	md5	turns	cond	winner	tb
P0	OPP1	atoll	3	A	bdaeb9d5d49aa2b608853c34dca3d326	125	core_destroyed	A	0
P0	OPP1	atoll	3	B	7d6c75c51fb101bfb42e9d4cef129995	464	core_destroyed	B	0
P0	OPP1	atoll	7	A	46aae2432340cf0e4f86784f1a9d9b8f	125	core_destroyed	A	0
P0	OPP1	atoll	7	B	3a2a920fa9caf573b322183cd777f95e	464	core_destroyed	B	0
P0	OPP1	drakkarfjord	3	A	b63d1ee03dd9aea2151092e44eeb15c0	92	core_destroyed	A	0
P0	OPP1	drakkarfjord	3	B	076e34a0ea4a740e4fd43802693d0952	97	core_destroyed	B	0
P0	OPP1	drakkarfjord	7	A	604df2869ace22ca933d1a73fbe56445	92	core_destroyed	A	0
P0	OPP1	drakkarfjord	7	B	a2052078c4ec31a7fd12bac3d97e0bd6	97	core_destroyed	B	0
P0	OPP1	glacierkeep	3	A	271a4cf47e0c8cbb67b103136c05681c	121	core_destroyed	A	0
P0	OPP1	glacierkeep	3	B	95b08fe164483afb2be28b8bc92cba86	1000	harvesters	A	0
P0	OPP1	glacierkeep	7	A	542017d10d7067361254034df0a101aa	121	core_destroyed	A	0
P0	OPP1	glacierkeep	7	B	6ecd4e5b8b6542048c471be91067637d	1000	harvesters	A	0
P0	OPP1	midgard	3	A	59387aed844cd0be2dc4d33e61f95046	629	core_destroyed	B	0
P0	OPP1	midgard	3	B	ac45f8feaa06242a156816bd34754073	134	core_destroyed	B	0
P0	OPP1	midgard	7	A	a9ac26f047c6dd72540157ea28a01240	629	core_destroyed	B	0
P0	OPP1	midgard	7	B	0b8cadf91902da7fb29f8e2f85a444e2	150	core_destroyed	B	0
P0	OPP1	jotunheim	3	A	91aefeb03e5f5b4bf0dfc81b362286b9	162	core_destroyed	A	0
P0	OPP1	jotunheim	3	B	08352a53d34967e7fb3c489dd1a727ed	373	core_destroyed	B	0
P0	OPP1	jotunheim	7	A	3c9ebe3dd298da1ee8ce72b6f54df6c8	162	core_destroyed	A	0
P0	OPP1	jotunheim	7	B	4bff29c5a159a95694473c10e639f6ea	373	core_destroyed	B	0
P0	OPP1	valkyrie	3	A	9466353f39228db58bca1b8f3ba506c9	485	core_destroyed	A	0
P0	OPP1	valkyrie	3	B	c64e386de74734712a50b6bc3a194a84	373	core_destroyed	A	0
P0	OPP1	valkyrie	7	A	2921d544149da7a34a805aa798a3f193	485	core_destroyed	A	0
P0	OPP1	valkyrie	7	B	e9549012e91ade313e728bbf5070b973	373	core_destroyed	A	0
P0	OPP1	saga	3	A	953023054bd32f1f2611df09087584f7	178	core_destroyed	A	0
P0	OPP1	saga	3	B	ddf0edc3f6910d4ed30d2d3519519d74	198	core_destroyed	A	0
P0	OPP1	saga	7	A	34abe8e2b028cd43081f982056d4ffde	178	core_destroyed	A	0
P0	OPP1	saga	7	B	7514999ed8414640f5f93bfb5be11653	222	core_destroyed	A	0
P0	OPP1	nordkap	3	A	02b379b167ddafa28ccc7de09c5ec8c9	191	core_destroyed	A	0
P0	OPP1	nordkap	3	B	151ba3d3b52e672f38dbae968998c7ac	122	core_destroyed	B	0
P0	OPP1	nordkap	7	A	928f37b05523d9a3ce8d35200c85f841	191	core_destroyed	A	0
P0	OPP1	nordkap	7	B	d22f3c0b2e941bbd8d8533883372363b	122	core_destroyed	B	0
P0	OPP1	holmgang	3	A	564de4f7fc4f41b24b07dc77ffeab509	940	core_destroyed	A	0
P0	OPP1	holmgang	3	B	e56f6de3249d0ba88c50b312b67200d6	404	core_destroyed	B	0
P0	OPP1	holmgang	7	A	21a70460924ba3f8af6d9d2c01987e61	940	core_destroyed	A	0
P0	OPP1	holmgang	7	B	ae553a125ec0d38df0c2cdfbfe72fe1a	404	core_destroyed	B	0
P0	OPP1	ragnarok	3	A	0ab42b5f72f6ec99b59bfef4e3b5cc14	187	core_destroyed	B	0
P0	OPP1	ragnarok	3	B	61d8c6b9af86117a4f9cf2de9421cafb	149	core_destroyed	B	0
P0	OPP1	ragnarok	7	A	e5085dbbae207faf093551d5e84ba8a5	187	core_destroyed	B	0
P0	OPP1	ragnarok	7	B	a13c6fbb01537cb7d08ae3a2a772ff95	149	core_destroyed	B	0
P0	OPP2	atoll	3	A	897d123e8939056c80b17e81d8e18ead	445	core_destroyed	B	0
P0	OPP2	atoll	3	B	894f23ca9b16b09f53d7bb9eefbf7b2d	96	core_destroyed	A	0
P0	OPP2	atoll	7	A	f7fcee0744e8db9d326a6c590776f173	445	core_destroyed	B	0
P0	OPP2	atoll	7	B	074db687552a360382a176ef9ea365fa	96	core_destroyed	A	0
P0	OPP2	drakkarfjord	3	A	ce77987b2b95759cdd44dcaa0a116070	109	core_destroyed	A	0
P0	OPP2	drakkarfjord	3	B	d0fda5737ef5d117aeda2f82c3079178	295	core_destroyed	B	0
P0	OPP2	drakkarfjord	7	A	656842add78aa5842074592b396df81a	109	core_destroyed	A	0
P0	OPP2	drakkarfjord	7	B	e0aebcacc3a5ad9351c2b6b3854b9c1a	295	core_destroyed	B	0
P0	OPP2	glacierkeep	3	A	4bd76559056c729f9b714cb06a65caf1	569	core_destroyed	A	0
P0	OPP2	glacierkeep	3	B	b18915a4747d1dcbba442d9bdec70f46	420	core_destroyed	B	0
P0	OPP2	glacierkeep	7	A	7ef3ba2c9f1965fb08ef4035cffed2e9	569	core_destroyed	A	0
P0	OPP2	glacierkeep	7	B	5c3c43c0ab9509a2dc076601a0aabff0	420	core_destroyed	B	0
P0	OPP2	midgard	3	A	9d619084ee9543a95400e02109c53449	298	core_destroyed	A	0
P0	OPP2	midgard	3	B	b9bd09d0d27603cad93c6a67c47ff457	592	core_destroyed	A	0
P0	OPP2	midgard	7	A	06e97f81db0f01ad4506983fe20dc0c6	298	core_destroyed	A	0
P0	OPP2	midgard	7	B	1dbb4bf4bcabba5633158189c3496207	592	core_destroyed	A	0
P0	OPP2	jotunheim	3	A	9cedeba23b277753fde2f7590a9be6cb	814	core_destroyed	B	0
P0	OPP2	jotunheim	3	B	e7b362508a364688a788a0e7cf447851	1000	titanium_collected	A	0
P0	OPP2	jotunheim	7	A	74677b8f6f9bd4da773e1969b4d5bee0	814	core_destroyed	B	0
P0	OPP2	jotunheim	7	B	3f0fe4e43117a1fba8bc692131e56cb0	1000	titanium_collected	A	0
P0	OPP2	valkyrie	3	A	dd07a9e23e44b553d2542f3818106a79	311	core_destroyed	A	0
P0	OPP2	valkyrie	3	B	1c486881fa65676ef4472a886d58b7fd	246	core_destroyed	B	0
P0	OPP2	valkyrie	7	A	103b0ecb6d18a704851ed5d90418271a	311	core_destroyed	A	0
P0	OPP2	valkyrie	7	B	c276b0ba8758e04c42b8102b56844f8b	246	core_destroyed	B	0
P0	OPP2	saga	3	A	c00b4901e0ff7510251524f79f1127d4	190	core_destroyed	B	0
P0	OPP2	saga	3	B	83fc2ec0ff63250de7616158ad6c5a48	1000	titanium_collected	A	0
P0	OPP2	saga	7	A	382b59ca541f174d4c3b199e1c14e8d9	190	core_destroyed	B	0
P0	OPP2	saga	7	B	8a6c5010225983e77851b51cd9976657	1000	titanium_collected	A	0
P0	OPP2	nordkap	3	A	c43e2b10ead11345b4ce9964175500b4	218	core_destroyed	A	0
P0	OPP2	nordkap	3	B	730afce1ed89ae8b2f10295f5cc6eb5e	375	core_destroyed	A	0
P0	OPP2	nordkap	7	A	3432c477b76c9ab1d38eaae511001c08	218	core_destroyed	A	0
