tag	map	seed	seat	ours	cond	turn	arm	ourcore_dmg	ourcore_heal	ourcore_hp_calc	oppcore_dmg	oppcore_heal	oppcore_hp_calc	heal_back	heal_back_ours	opp_harv_built	opp_belt_built	opp_harv_killed	opp_belt_killed	opp_eco_killed	fwd_gun_n	fwd_gun_first	gun_n	fwd_sent_n	fwd_sent_first	fwd_laun_n	fwd_laun_first	collar_bar_n	unknown_deltas
atoll_s1_A	atoll	1	A	US	Core destroyed	194	v523	0	0	500	954	454	0	0.4759		2	4	0	3	3	0		0	1	64	2	7	6	
atoll_s1_B	atoll	1	B	US	Core destroyed	182	v523	0	0	500	504	0	-4	0.0		5	16	0	3	3	0		0	1	126	3	7	18	
atoll_s2_A	atoll	2	A	US	Core destroyed	248	v523	0	0	500	1134	626	-8	0.552		4	16	0	5	5	2	218	3	1	98	4	7	7	
atoll_s2_B	atoll	2	B	OPP	Core destroyed	271	v523	1854	1352	-2	1134	672	38	0.5926	0.7292	3	4	0	1	1	0		0	2	82	2	7	9	
atoll_s3_A	atoll	3	A	OPP	Core destroyed	310	v523	504	0	-4	522	522	500	1.0	0.0	4	16	0	3	3	0		0	1	68	4	7	11	
atoll_s3_B	atoll	3	B	US	Core destroyed	127	v523	594	500	406	504	0	-4	0.0	0.8418	3	12	0	1	1	0		0	1	66	4	7	14	
drakkarfjord_s1_A	drakkarfjord	1	A	US	Core destroyed	129	v523	0	0	500	702	196	-6	0.2792		2	16	0	1	1	0		0	1	51	1	13	17	
drakkarfjord_s1_B	drakkarfjord	1	B	US	Core destroyed	284	v523	0	0	500	1458	958	0	0.6571		3	13	0	0	0	0		0	1	40	2	13	14	
drakkarfjord_s2_A	drakkarfjord	2	A	US	Core destroyed	106	v523	0	0	500	630	128	-2	0.2032		3	17	0	0	0	0		0	1	36	1	13	11	
drakkarfjord_s2_B	drakkarfjord	2	B	US	Core destroyed	105	v523	0	0	500	558	52	-6	0.0932		3	14	0	0	0	0		0	1	43	1	13	13	
