tag	map	seed	seat	ours	turn	n_seats	rounds	sealed_r	live_r	funded_r	livefund_r	overlap_r	overlap_first	seal_only_r	shot_only_r	dmg_in	heal_in	net_in	dmg_out	heal_out	net_out	net_per_overlap	net_per_nonoverlap
atoll_s1_A	atoll	1	A	US	194	8	194	0	130	187	130	0	-1	0	130	0	0		766	266	500		2.5773
atoll_s1_B	atoll	1	B	US	182	8	182	110	56	171	56	49	126	61	7	504	0	504	0	0	0	10.2857	0.0
atoll_s2_A	atoll	2	A	US	248	8	248	0	150	241	150	0	-1	0	150	0	0		890	382	508		2.0484
atoll_s2_B	atoll	2	B	OPP	271	8	271	0	189	82	9	0	-1	0	9	0	0		902	440	462		1.7048
atoll_s3_A	atoll	3	A	OPP	310	8	310	0	108	198	4	0	-1	0	4	0	0		458	458	0		0.0
atoll_s3_B	atoll	3	B	US	127	8	127	0	61	102	49	0	-1	0	49	0	0		504	0	504		3.9685
drakkarfjord_s1_A	drakkarfjord	1	A	US	129	8	129	41	78	115	78	20	51	21	58	162	0	162	440	96	344	8.1	3.156
drakkarfjord_s1_B	drakkarfjord	1	B	US	284	8	284	60	244	227	201	44	40	16	157	396	0	396	838	734	104	9.0	0.4333
drakkarfjord_s2_A	drakkarfjord	2	A	US	106	8	106	30	70	92	70	24	36	6	46	216	0	216	350	64	286	9.0	3.4878
drakkarfjord_s2_B	drakkarfjord	2	B	US	105	8	105	43	62	91	62	36	43	7	26	306	0	306	224	24	200	8.5	2.8986
drakkarfjord_s3_A	drakkarfjord	3	A	US	856	8	856	90	99	841	98	42	33	48	56	360	0	360	522	378	144	8.5714	0.1769
drakkarfjord_s3_B	drakkarfjord	3	B	US	98	8	98	59	56	84	56	53	42	6	3	486	0	486	18	0	18	9.1698	0.4
glacierkeep_s1_A	glacierkeep	1	A	US	149	8	149	121	94	5	5	5	60	116	0	0	0	0	504	0	504	0.0	3.5
glacierkeep_s1_B	glacierkeep	1	B	OPP	1000	8	1000	923	872	10	0	0	-1	923	0	0	0		0	0	0		0.0
glacierkeep_s2_A	glacierkeep	2	A	US	144	8	144	112	56	69	56	56	88	56	0	504	0	504	0	0	0	9.0	0.0
glacierkeep_s2_B	glacierkeep	2	B	US	133	8	133	98	57	76	53	44	76	54	9	414	0	414	90	0	90	9.4091	1.0112
glacierkeep_s3_A	glacierkeep	3	A	US	126	8	126	98	58	52	52	52	72	46	0	468	0	468	36	0	36	9.0	0.4865
glacierkeep_s3_B	glacierkeep	3	B	US	253	8	253	207	161	1	1	1	92	206	0	0	0	0	504	0	504	0.0	2.0
midgard_s1_A	midgard	1	A	US	130	8	130	0	84	121	84	0	-1	0	84	0	0		632	124	508		3.9077
midgard_s1_B	midgard	1	B	US	721	8	721	0	281	546	119	0	-1	0	119	0	0		774	270	504		0.699
midgard_s2_A	midgard	2	A	OPP	313	8	313	0	261	300	255	0	-1	0	255	0	0		0	0	0		0.0
midgard_s2_B	midgard	2	B	OPP	257	8	257	0	53	207	16	0	-1	0	16	0	0		324	0	324		1.2607
midgard_s3_A	midgard	3	A	OPP	265	8	265	0	215	57	17	0	-1	0	17	0	0		0	0	0		0.0
midgard_s3_B	midgard	3	B	OPP	218	8	218	0	165	169	128	0	-1	0	128	0	0		930	636	294		1.3486
nordkap_s1_A	nordkap	1	A	US	504	8	504	28	456	324	288	1	57	27	287	0	0	0	1826	1320	506	0.0	1.006
nordkap_s1_B	nordkap	1	B	US	269	8	269	180	181	131	52	3	160	177	49	18	0	18	486	0	486	6.0	1.8271
nordkap_s2_A	nordkap	2	A	US	494	8	494	55	426	182	147	0	-1	55	147	0	0		1252	748	504		1.0202
nordkap_s2_B	nordkap	2	B	OPP	185	8	185	132	178	62	62	18	53	114	44	0	0	0	0	0	0	0.0	0.0
nordkap_s3_A	nordkap	3	A	US	368	8	368	31	297	121	70	0	-1	31	70	0	0		1548	1048	500		1.3587
nordkap_s3_B	nordkap	3	B	US	239	8	239	148	89	175	47	18	44	130	29	162	0	162	478	132	346	9.0	1.5656
yulerune_s1_A	yulerune	1	A	US	340	8	340	0	307	329	307	0	-1	0	307	0	0		504	0	504		1.4824
yulerune_s1_B	yulerune	1	B	US	317	8	317	0	93	196	16	0	-1	0	16	0	0		504	0	504		1.5899
yulerune_s2_A	yulerune	2	A	US	179	8	179	0	56	167	56	0	-1	0	56	0	0		504	0	504		2.8156
yulerune_s2_B	yulerune	2	B	US	1000	8	1000	0	0	172	0	0	-1	0	0	0	0		0	0	0		0.0
yulerune_s3_A	yulerune	3	A	US	661	8	661	0	339	466	172	0	-1	0	172	0	0		504	0	504		0.7625
yulerune_s3_B	yulerune	3	B	OPP	209	8	209	0	17	177	12	0	-1	0	12	0	0		144	0	144		0.689
atoll_s4_A	atoll	4	A	US	322	8	322	0	96	310	96	0	-1	0	96	0	0		680	180	500		1.5528
atoll_s4_B	atoll	4	B	US	176	8	176	0	56	164	56	0	-1	0	56	0	0		504	0	504		2.8636
atoll_s5_A	atoll	5	A	OPP	152	8	152	0	0	132	0	0	-1	0	0	0	0		0	0	0		0.0
atoll_s5_B	atoll	5	B	OPP	201	8	201	0	0	189	0	0	-1	0	0	0	0		0	0	0		0.0
atoll_s6_A	atoll	6	A	OPP	268	8	268	0	0	243	0	0	-1	0	0	0	0		0	0	0		0.0
atoll_s6_B	atoll	6	B	US	235	8	235	172	107	108	53	53	182	119	0	486	0	486	18	0	18	9.1698	0.0989
drakkarfjord_s4_A	drakkarfjord	4	A	US	139	8	139	54	76	125	76	29	63	25	47	252	0	252	340	88	252	8.6897	2.2909
drakkarfjord_s4_B	drakkarfjord	4	B	US	122	8	122	29	82	108	82	20	40	9	62	180	0	180	442	116	326	9.0	3.1961
drakkarfjord_s5_A	drakkarfjord	5	A	US	95	8	95	63	56	81	56	54	39	9	2	486	0	486	18	0	18	9.0	0.439
drakkarfjord_s5_B	drakkarfjord	5	B	US	1000	8	1000	25	959	251	224	15	41	10	209	126	0	126	1634	1760	-126	8.4	-0.1279
drakkarfjord_s6_A	drakkarfjord	6	A	US	100	8	100	59	59	72	45	45	41	14	0	378	0	378	126	0	126	8.4	2.2909
drakkarfjord_s6_B	drakkarfjord	6	B	US	99	8	99	61	56	85	56	54	43	7	2	468	0	468	36	0	36	8.6667	0.8
