tag	map	seed	seat	ours	turn	n_seats	rounds	sealed_r	live_r	funded_r	livefund_r	overlap_r	overlap_first	seal_only_r	shot_only_r	dmg_in	heal_in	net_in	dmg_out	heal_out	net_out	net_per_overlap	net_per_nonoverlap
atoll_s1_A	atoll	1	A	US	410	8	410	0	256	274	134	0	-1	0	134	0	0		1196	696	500		1.2195
atoll_s1_B	atoll	1	B	US	449	8	449	0	98	424	98	0	-1	0	98	0	0		690	188	502		1.118
atoll_s2_A	atoll	2	A	US	244	8	244	0	180	237	180	0	-1	0	180	0	0		1056	556	500		2.0492
atoll_s2_B	atoll	2	B	OPP	252	8	252	0	0	69	0	0	-1	0	0	0	0		0	0	0		0.0
atoll_s3_A	atoll	3	A	US	216	8	216	0	80	191	80	0	-1	0	80	0	0		612	108	504		2.3333
atoll_s3_B	atoll	3	B	US	150	8	150	0	88	136	83	0	-1	0	83	0	0		648	140	508		3.3867
drakkarfjord_s1_A	drakkarfjord	1	A	US	88	8	88	57	56	73	55	55	32	2	0	486	0	486	18	0	18	8.8364	0.5455
drakkarfjord_s1_B	drakkarfjord	1	B	US	114	8	114	39	74	100	74	28	40	11	46	252	0	252	334	80	254	9.0	2.9535
drakkarfjord_s2_A	drakkarfjord	2	A	US	89	8	89	49	56	74	55	47	33	2	8	396	0	396	108	0	108	8.4255	2.5714
drakkarfjord_s2_B	drakkarfjord	2	B	US	98	8	98	52	56	84	56	51	42	1	5	468	0	468	36	0	36	9.1765	0.766
drakkarfjord_s3_A	drakkarfjord	3	A	US	92	8	92	56	56	77	55	55	36	1	0	486	0	486	18	0	18	8.8364	0.4865
drakkarfjord_s3_B	drakkarfjord	3	B	US	128	8	128	0	56	114	56	0	-1	0	56	0	0		504	0	504		3.9375
glacierkeep_s1_A	glacierkeep	1	A	US	166	8	166	120	56	151	56	56	60	64	0	504	0	504	0	0	0	9.0	0.0
glacierkeep_s1_B	glacierkeep	1	B	US	278	8	278	76	92	167	16	10	80	66	6	54	0	54	450	0	450	5.4	1.6791
glacierkeep_s2_A	glacierkeep	2	A	US	114	8	114	86	59	14	14	14	60	72	0	0	0	0	504	0	504	0.0	5.04
glacierkeep_s2_B	glacierkeep	2	B	OPP	1000	8	1000	924	884	42	0	0	-1	924	0	0	0		0	0	0		0.0
glacierkeep_s3_A	glacierkeep	3	A	US	179	8	179	134	56	101	42	42	123	92	0	252	0	252	252	0	252	6.0	1.8394
glacierkeep_s3_B	glacierkeep	3	B	US	249	8	249	141	145	76	16	8	104	133	8	54	0	54	450	0	450	6.75	1.8672
midgard_s1_A	midgard	1	A	OPP	546	8	546	0	82	102	42	0	-1	0	42	0	0		252	252	0		0.0
midgard_s1_B	midgard	1	B	OPP	319	8	319	0	260	146	97	0	-1	0	97	0	0		1452	1212	240		0.7524
midgard_s2_A	midgard	2	A	OPP	187	8	187	0	0	132	0	0	-1	0	0	0	0		0	0	0		0.0
midgard_s2_B	midgard	2	B	OPP	161	8	161	0	0	93	0	0	-1	0	0	0	0		0	0	0		0.0
midgard_s3_A	midgard	3	A	US	345	8	345	0	295	205	164	0	-1	0	164	0	0		504	0	504		1.4609
midgard_s3_B	midgard	3	B	US	311	8	311	0	39	287	39	0	-1	0	39	0	0		504	0	504		1.6206
nordkap_s1_A	nordkap	1	A	US	376	8	376	24	237	358	237	7	77	17	230	54	0	54	1502	1046	456	7.7143	1.2358
nordkap_s1_B	nordkap	1	B	OPP	1000	8	1000	877	923	57	2	0	-1	877	2	0	0		18	18	0		0.0
nordkap_s2_A	nordkap	2	A	US	736	8	736	699	58	317	58	58	588	641	0	504	0	504	0	0	0	8.6897	0.0
nordkap_s2_B	nordkap	2	B	US	141	8	141	120	132	45	45	33	21	87	12	72	0	72	432	0	432	2.1818	4.0
