tag	rnd	why	scale_pct	sent_price	builder_bot	conveyor	splitter	barrier	harvester	launcher	gunner	sentinel
atoll_s1_A	300	r300	262	78	40	10	0	7	15	10	40	40
atoll_s1_A	548	end	262	78	40	10	0	7	15	10	40	40
atoll_s1_A	0	r0	120	36	20	0	0	0	0	0	0	0
atoll_s1_B	100	first_fwd_sentinel	276	82	20	12	0	4	10	10	20	100
atoll_s1_B	185	r300	316	94	60	12	0	4	10	10	20	100
atoll_s1_B	185	end	316	94	60	12	0	4	10	10	20	100
atoll_s1_B	0	r0	120	36	20	0	0	0	0	0	0	0
atoll_s2_A	300	r300	392	117	160	10	0	2	10	10	60	40
atoll_s2_A	501	end	345	103	100	10	0	5	10	20	60	40
atoll_s2_A	0	r0	120	36	20	0	0	0	0	0	0	0
atoll_s2_B	300	r300	309	92	140	3	0	6	10	10	0	40
atoll_s2_B	367	end	395	118	200	4	0	6	15	10	20	40
atoll_s2_B	0	r0	120	36	20	0	0	0	0	0	0	0
atoll_s3_A	148	first_fwd_sentinel	305	91	100	25	0	10	20	10	0	40
atoll_s3_A	203	r300	305	91	100	25	0	10	20	10	0	40
atoll_s3_A	203	end	305	91	100	25	0	10	20	10	0	40
atoll_s3_A	0	r0	120	36	20	0	0	0	0	0	0	0
atoll_s3_B	300	r300	284	85	20	11	0	3	10	0	80	60
atoll_s3_B	373	end	304	91	40	11	0	3	10	0	80	60
atoll_s3_B	0	r0	120	36	20	0	0	0	0	0	0	0
drakkarfjord_s1_A	115	first_fwd_sentinel	321	96	80	33	0	8	20	0	20	60
drakkarfjord_s1_A	210	r300	368	110	80	69	0	9	30	0	20	60
drakkarfjord_s1_A	210	end	368	110	80	69	0	9	30	0	20	60
drakkarfjord_s1_A	0	r0	120	36	20	0	0	0	0	0	0	0
drakkarfjord_s1_B	64	first_fwd_sentinel	278	83	100	18	0	10	10	0	0	40
drakkarfjord_s1_B	135	r300	275	82	100	18	0	7	10	0	0	40
drakkarfjord_s1_B	135	end	275	82	100	18	0	7	10	0	0	40
drakkarfjord_s1_B	0	r0	120	36	20	0	0	0	0	0	0	0
drakkarfjord_s2_A	300	r300	296	88	60	61	0	5	30	0	0	40
drakkarfjord_s2_A	739	end	321	96	60	86	0	5	30	0	0	40
drakkarfjord_s2_A	0	r0	120	36	20	0	0	0	0	0	0	0
drakkarfjord_s2_B	252	first_fwd_sentinel	419	125	100	43	0	11	25	0	60	80
drakkarfjord_s2_B	300	r300	419	125	100	43	0	11	25	0	60	80
drakkarfjord_s2_B	492	end	379	113	60	43	0	11	25	0	60	80
drakkarfjord_s2_B	0	r0	120	36	20	0	0	0	0	0	0	0
drakkarfjord_s3_A	74	first_fwd_sentinel	309	92	100	23	0	11	15	0	40	20
drakkarfjord_s3_A	300	r300	285	85	80	21	0	9	15	0	40	20
drakkarfjord_s3_A	821	end	265	79	60	21	0	9	15	0	40	20
drakkarfjord_s3_A	0	r0	120	36	20	0	0	0	0	0	0	0
drakkarfjord_s3_B	89	first_fwd_sentinel	299	89	100	18	0	11	10	0	20	40
