tag	map	seed	seat	arm	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
parent_icefloe_s1_A	icefloe	1	A	parent	OPP	_x3r0v165mjolnirB	Core destroyed	479	0	0	600
flagoff_icefloe_s1_A	icefloe	1	A	flagoff	OPP	_x3r0v165mjolnirB	Core destroyed	377	0	0	2210
v530_icefloe_s1_A	icefloe	1	A	v530	US	v530_arm	Core destroyed	404	0	1550	800
v531fix_icefloe_s1_A	icefloe	1	A	v531fix	US	_v531fix	Core destroyed	184	0	420	100
parent_icefloe_s1_B	icefloe	1	B	parent	OPP	_x3r0v165mjolnirB	Core destroyed	239	0	0	980
flagoff_icefloe_s1_B	icefloe	1	B	flagoff	OPP	_x3r0v165mjolnirB	Core destroyed	120	0	0	610
v530_icefloe_s1_B	icefloe	1	B	v530	OPP	_x3r0v165mjolnirB	Core destroyed	551	0	4700	8440
v531fix_icefloe_s1_B	icefloe	1	B	v531fix	OPP	_x3r0v165mjolnirB	Core destroyed	311	0	1210	1700
parent_icefloe_s2_A	icefloe	2	A	parent	OPP	_x3r0v165mjolnirB	Core destroyed	149	0	0	620
flagoff_icefloe_s2_A	icefloe	2	A	flagoff	OPP	_x3r0v165mjolnirB	Core destroyed	156	0	0	680
v530_icefloe_s2_A	icefloe	2	A	v530	OPP	_x3r0v165mjolnirB	Core destroyed	382	0	1090	4850
v531fix_icefloe_s2_A	icefloe	2	A	v531fix	US	_v531fix	Core destroyed	191	0	440	0
parent_icefloe_s2_B	icefloe	2	B	parent	OPP	_x3r0v165mjolnirB	Core destroyed	373	0	0	850
flagoff_icefloe_s2_B	icefloe	2	B	flagoff	OPP	_x3r0v165mjolnirB	Core destroyed	239	0	0	980
v530_icefloe_s2_B	icefloe	2	B	v530	US	v530_arm	Core destroyed	316	0	2160	2020
v531fix_icefloe_s2_B	icefloe	2	B	v531fix	US	_v531fix	Core destroyed	427	0	4170	560
parent_auroraveil_s1_A	auroraveil	1	A	parent	US	parent_arm	Core destroyed	173	0	390	10
flagoff_auroraveil_s1_A	auroraveil	1	A	flagoff	US	flagoff_arm	Core destroyed	184	0	530	40
v530_auroraveil_s1_A	auroraveil	1	A	v530	OPP	_x3r0v165mjolnirB	Core destroyed	201	0	0	780
v531fix_auroraveil_s1_A	auroraveil	1	A	v531fix	OPP	_x3r0v165mjolnirB	Core destroyed	585	0	1710	5220
parent_auroraveil_s1_B	auroraveil	1	B	parent	OPP	_x3r0v165mjolnirB	Core destroyed	474	0	0	2120
flagoff_auroraveil_s1_B	auroraveil	1	B	flagoff	OPP	_x3r0v165mjolnirB	Core destroyed	255	0	0	1450
v530_auroraveil_s1_B	auroraveil	1	B	v530	OPP	_x3r0v165mjolnirB	Core destroyed	905	0	0	2210
