tag	siege_r	idle_r	ammo_med	lt10	ge10	ge120	idle_med
atoll_s1_A	787	141	50	0.0	1.0	0.0	24
atoll_s1_B	0	184	-1	-1	-1	-1	20.0
atoll_s2_A	740	95	9.0	0.9756756756756757	0.024324324324324326	0.0	24
atoll_s2_B	55	95	34	0.0	1.0	0.0	24
atoll_s3_A	98	262	50.0	0.0	1.0	0.0	24.0
atoll_s3_B	0	374	-1	-1	-1	-1	20.0
atoll_s4_A	66	596	7.0	0.6212121212121212	0.3787878787878788	0.0	60.0
atoll_s4_B	0	207	-1	-1	-1	-1	7
atoll_s5_A	45	497	60	0.0	1.0	0.0	24
atoll_s5_B	106	150	50.0	0.0	1.0	0.0	24.0
atoll_s6_A	151	104	30	0.31788079470198677	0.6821192052980133	0.0	50.0
atoll_s6_B	0	172	-1	-1	-1	-1	24.0
drakkarfjord_s1_A	85	129	161	0.0	1.0	0.7764705882352941	42
drakkarfjord_s1_B	691	309	5	0.9971056439942113	0.002894356005788712	0.0	24
drakkarfjord_s2_A	101	72	8	0.9405940594059405	0.0594059405940594	0.0	14.0
drakkarfjord_s2_B	58	83	30.0	0.15517241379310345	0.8448275862068966	0.0	13
drakkarfjord_s3_A	0	1000	-1	-1	-1	-1	24.0
drakkarfjord_s3_B	0	359	-1	-1	-1	-1	24
drakkarfjord_s4_A	57	943	80	0.0	1.0	0.03508771929824561	56
drakkarfjord_s4_B	129	372	2	1.0	0.0	0.0	2.0
drakkarfjord_s5_A	0	563	-1	-1	-1	-1	20
drakkarfjord_s5_B	104	207	80.0	0.0	1.0	0.28846153846153844	40
drakkarfjord_s6_A	55	381	46	0.0	1.0	0.0	24
drakkarfjord_s6_B	76	73	0.0	0.5921052631578947	0.40789473684210525	0.0	16
glacierkeep_s1_A	190	87	5.0	0.9789473684210527	0.021052631578947368	0.0	24
glacierkeep_s1_B	939	61	8	0.9925452609158679	0.007454739084132056	0.0	24
glacierkeep_s2_A	927	73	5	0.9795037756202805	0.020496224379719527	0.0	20
glacierkeep_s2_B	934	66	8.0	0.9946466809421841	0.0053533190578158455	0.0	24.0
glacierkeep_s3_A	76	57	9.0	0.5526315789473685	0.4473684210526316	0.0	24
glacierkeep_s3_B	143	857	0	0.9440559440559441	0.055944055944055944	0.0	18
glacierkeep_s4_A	191	90	4	0.9685863874345549	0.031413612565445025	0.0	20.5
glacierkeep_s4_B	229	771	3	0.982532751091703	0.017467248908296942	0.0	22
glacierkeep_s5_A	0	1000	-1	-1	-1	-1	2.0
glacierkeep_s5_B	104	81	2.0	0.9615384615384616	0.038461538461538464	0.0	24
glacierkeep_s6_A	61	69	7	0.5901639344262295	0.4098360655737705	0.0	20
glacierkeep_s6_B	478	67	0.0	0.9895397489539749	0.010460251046025104	0.0	24
midgard_s1_A	0	363	-1	-1	-1	-1	4
midgard_s1_B	130	50	3.0	0.6076923076923076	0.3923076923076923	0.0	16.0
midgard_s2_A	55	102	70	0.0	1.0	0.0	16.0
midgard_s2_B	113	43	6	0.504424778761062	0.49557522123893805	0.0	16
midgard_s3_A	98	70	30.0	0.14285714285714285	0.8571428571428571	0.0	16.0
midgard_s3_B	22	134	30.0	0.045454545454545456	0.9545454545454546	0.0	40.0
midgard_s4_A	43	168	70	0.0	1.0	0.0	37.0
midgard_s4_B	82	49	30.0	0.32926829268292684	0.6707317073170732	0.0	16
midgard_s5_A	40	216	57.0	0.0	1.0	0.0	24.0
midgard_s5_B	13	247	30	0.07692307692307693	0.9230769230769231	0.0	40
midgard_s6_A	105	367	50	0.09523809523809523	0.9047619047619048	0.0	24
midgard_s6_B	78	43	30.0	0.1282051282051282	0.8717948717948718	0.0	16
nordkap_s1_A	764	61	2.0	0.9908376963350786	0.009162303664921465	0.0	24
nordkap_s1_B	68	101	8.0	0.6470588235294118	0.35294117647058826	0.0	24
nordkap_s2_A	191	77	50	0.015706806282722512	0.9842931937172775	0.0	24
nordkap_s2_B	70	337	6.0	0.7	0.3	0.0	16
nordkap_s3_A	169	429	60	0.029585798816568046	0.9704142011834319	0.21301775147928995	180
nordkap_s3_B	46	397	282.5	0.0	1.0	1.0	8
nordkap_s4_A	164	353	5.0	0.9146341463414634	0.08536585365853659	0.0	24
nordkap_s4_B	67	221	76	0.0	1.0	0.0	80
nordkap_s5_A	0	240	-1	-1	-1	-1	3.0
nordkap_s5_B	0	1000	-1	-1	-1	-1	20.0
nordkap_s6_A	70	145	25.0	0.24285714285714285	0.7571428571428571	0.0	24
nordkap_s6_B	64	133	10.5	0.5	0.5	0.0	24
