tag	id	x	y	site	built	died	life	stood	dsq_opp	dsq_own	end
atoll_s1_A	7	4	12	HOME	1	2	1	0	200.5	8.5	927
atoll_s1_A	12	8	8	HOP	3	4	1	0	72.5	72.5	927
atoll_s1_A	22	14	5	RING	6	129	123	0	6.5	222.5	927
atoll_s1_A	198	1	13	HOME	106	107	1	0	292.5	4.5	927
atoll_s1_A	208	7	5	HOP	114	115	1	0	62.5	110.5	927
atoll_s1_A	332	8	13	HOP	220	-1	707	1	152.5	32.5	927
atoll_s1_B	7	13	5	HOME	1	2	1	0	200.5	8.5	183
atoll_s1_B	12	9	9	HOP	3	4	1	0	72.5	72.5	183
atoll_s1_B	96	0	15	RING	42	-1	141	1	6.5	366.5	183
atoll_s2_A	7	4	12	HOME	1	2	1	0	200.5	8.5	834
atoll_s2_A	12	8	8	HOP	3	4	1	0	72.5	72.5	834
atoll_s2_A	21	13	4	RING	6	9	3	0	4.5	220.5	834
atoll_s2_A	39	12	2	RING	12	-1	822	1	6.5	246.5	834
atoll_s2_B	7	13	5	HOME	1	2	1	0	200.5	8.5	149
atoll_s2_B	12	9	9	HOP	3	4	1	0	72.5	72.5	149
atoll_s2_B	52	4	17	HOP	24	-1	125	1	8.5	320.5	149
atoll_s2_B	101	3	12	RING	60	-1	89	1	6.5	222.5	149
atoll_s3_A	7	4	12	HOME	1	2	1	0	200.5	8.5	359
atoll_s3_A	13	8	8	HOP	3	4	1	0	72.5	72.5	359
atoll_s3_A	19	12	4	HOP	5	9	4	0	8.5	200.5	359
atoll_s3_A	36	15	5	RING	12	-1	347	1	6.5	246.5	359
atoll_s3_A	235	1	13	HOME	117	118	1	0	292.5	4.5	359
atoll_s3_A	285	1	13	HOME	146	147	1	0	292.5	4.5	359
atoll_s3_A	289	5	8	HOP	149	150	1	0	120.5	48.5	359
atoll_s3_A	293	10	5	HOP	151	152	1	0	26.5	146.5	359
atoll_s3_A	347	13	0	HOP	182	-1	177	1	8.5	320.5	359
atoll_s3_A	402	0	5	HOP	216	-1	143	1	216.5	96.5	359
atoll_s3_A	420	5	5	HOP	228	-1	131	1	96.5	96.5	359
atoll_s3_A	442	10	7	HOP	246	306	60	0	40.5	112.5	359
atoll_s3_A	482	3	17	HOME	282	332	50	0	342.5	6.5	359
atoll_s3_A	505	8	12	HOP	304	305	1	0	132.5	36.5	359
atoll_s3_A	539	10	12	HOP	336	337	1	0	110.5	62.5	359
atoll_s3_B	7	13	5	HOME	1	2	1	0	200.5	8.5	373
atoll_s3_B	12	9	9	HOP	3	4	1	0	72.5	72.5	373
atoll_s3_B	449	17	2	HOME	232	244	12	0	366.5	6.5	373
atoll_s3_B	489	14	10	HOP	251	252	1	0	152.5	56.5	373
atoll_s3_B	627	13	4	HOME	363	364	1	0	220.5	4.5	373
atoll_s4_A	7	4	12	HOME	1	2	1	0	200.5	8.5	661
atoll_s4_A	12	8	8	HOP	3	4	1	0	72.5	72.5	661
atoll_s4_A	29	13	5	HOP	8	10	2	0	8.5	200.5	661
atoll_s4_A	39	13	5	HOP	12	14	2	0	8.5	200.5	661
atoll_s4_A	46	12	3	RING	17	291	274	0	6.5	222.5	661
atoll_s4_A	396	5	15	HOME	259	260	1	0	246.5	6.5	661
atoll_s4_A	405	12	11	HOP	264	265	1	0	78.5	102.5	661
atoll_s4_A	499	5	0	HOP	320	-1	341	1	96.5	216.5	661
atoll_s4_A	520	10	0	HOP	333	335	2	0	26.5	266.5	661
atoll_s4_A	526	11	1	HOP	336	338	2	0	14.5	254.5	661
atoll_s4_B	7	13	5	HOME	1	2	1	0	200.5	8.5	206
atoll_s4_B	13	9	9	HOP	3	4	1	0	72.5	72.5	206
atoll_s4_B	50	3	17	RING	18	53	35	0	6.5	342.5	206
atoll_s5_A	7	4	12	HOME	1	2	1	0	200.5	8.5	541
atoll_s5_A	12	8	8	HOP	3	4	1	0	72.5	72.5	541
atoll_s5_A	20	13	4	RING	6	10	4	0	4.5	220.5	541
atoll_s5_A	50	13	0	HOP	20	-1	521	1	8.5	320.5	541
atoll_s5_A	275	4	0	HOP	390	-1	151	1	116.5	212.5	541
atoll_s5_B	7	13	5	HOME	1	2	1	0	200.5	8.5	255
atoll_s5_B	12	9	9	HOP	3	4	1	0	72.5	72.5	255
atoll_s5_B	41	4	13	RING	18	20	2	0	4.5	220.5	255
atoll_s5_B	77	5	14	RING	46	-1	209	1	6.5	222.5	255
atoll_s6_A	7	4	12	HOME	1	2	1	0	200.5	8.5	254
atoll_s6_A	12	8	8	HOP	3	4	1	0	72.5	72.5	254
atoll_s6_A	21	14	5	RING	6	9	3	0	6.5	222.5	254
atoll_s6_A	40	12	3	RING	13	-1	241	1	6.5	222.5	254
atoll_s6_A	230	4	12	HOME	143	144	1	0	200.5	8.5	254
atoll_s6_A	237	5	7	HOP	148	149	1	0	110.5	62.5	254
atoll_s6_B	7	13	5	HOME	1	2	1	0	200.5	8.5	171
atoll_s6_B	13	9	9	HOP	3	4	1	0	72.5	72.5	171
atoll_s6_B	23	5	14	RING	6	-1	165	1	6.5	222.5	171
atoll_s6_B	295	12	0	HOP	158	159	1	0	300.5	12.5	171
drakkarfjord_s1_A	7	5	23	HOME	1	2	1	0	804.5	8.5	213
drakkarfjord_s1_A	11	10	20	HOP	3	4	1	0	512.5	76.5	213
drakkarfjord_s1_A	13	14	16	HOP	5	6	1	0	288.5	204.5	213
drakkarfjord_s1_A	14	18	12	HOP	7	8	1	0	128.5	396.5	213
drakkarfjord_s1_A	15	22	8	HOP	9	10	1	0	32.5	652.5	213
drakkarfjord_s1_B	7	24	6	HOME	1	2	1	0	804.5	8.5	999
drakkarfjord_s1_B	11	19	9	HOP	3	4	1	0	512.5	76.5	999
drakkarfjord_s1_B	13	15	13	HOP	5	6	1	0	288.5	204.5	999
drakkarfjord_s1_B	14	11	17	HOP	7	8	1	0	128.5	396.5	999
drakkarfjord_s1_B	15	7	21	HOP	9	10	1	0	32.5	652.5	999
drakkarfjord_s1_B	301	5	24	RING	168	-1	831	1	6.5	842.5	999
drakkarfjord_s2_A	7	5	23	HOME	1	2	1	0	804.5	8.5	172
drakkarfjord_s2_A	11	10	20	HOP	3	4	1	0	512.5	76.5	172
drakkarfjord_s2_A	13	14	16	HOP	5	6	1	0	288.5	204.5	172
drakkarfjord_s2_A	14	18	12	HOP	7	8	1	0	128.5	396.5	172
