tag	arm	map	g	seed	ord	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
spoffA_glacierkeep_g0	spoffA	glacierkeep	0	7400	A	US	spawn_off	Titanium collected (tiebreak)	1000	0	10	0
spoffA_glacierkeep_g1	spoffA	glacierkeep	1	7401	B	US	spawn_off	Core destroyed	429	0	0	0
spoffA_glacierkeep_g2	spoffA	glacierkeep	2	7402	A	US	spawn_off	Core destroyed	844	0	20	0
spoffA_glacierkeep_g3	spoffA	glacierkeep	3	7403	B	US	spawn_off	Titanium collected (tiebreak)	1000	0	600	0
spoffA_glacierkeep_g4	spoffA	glacierkeep	4	7404	A	US	spawn_off	Core destroyed	155	0	340	0
spoffA_glacierkeep_g5	spoffA	glacierkeep	5	7405	B	US	spawn_off	Core destroyed	317	0	0	0
spoffA_nordkap_g0	spoffA	nordkap	0	7400	A	US	spawn_off	Core destroyed	948	0	3340	1970
spoffA_nordkap_g1	spoffA	nordkap	1	7401	B	OPP	_v488beltbreak2	Core destroyed	365	0	960	1210
spoffA_nordkap_g2	spoffA	nordkap	2	7402	A	US	spawn_off	Core destroyed	236	0	1980	130
spoffA_nordkap_g3	spoffA	nordkap	3	7403	B	OPP	_v488beltbreak2	Core destroyed	259	0	400	3920
spoffA_nordkap_g4	spoffA	nordkap	4	7404	A	OPP	_v488beltbreak2	Core destroyed	142	0	180	1230
spoffA_nordkap_g5	spoffA	nordkap	5	7405	B	OPP	_v488beltbreak2	Core destroyed	562	0	160	1670
spoffA_atoll_g0	spoffA	atoll	0	7400	A	US	spawn_off	Core destroyed	419	0	2060	1550
spoffA_atoll_g1	spoffA	atoll	1	7401	B	OPP	_v488beltbreak2	Core destroyed	143	0	310	630
spoffA_atoll_g2	spoffA	atoll	2	7402	A	OPP	_v488beltbreak2	Core destroyed	177	0	290	1760
spoffA_atoll_g3	spoffA	atoll	3	7403	B	US	spawn_off	Titanium collected (tiebreak)	1000	0	4960	4570
spoffA_atoll_g4	spoffA	atoll	4	7404	A	OPP	_v488beltbreak2	Core destroyed	328	0	1540	3490
spoffA_atoll_g5	spoffA	atoll	5	7405	B	US	spawn_off	Core destroyed	510	0	2470	2170
spoffA_midgard_g0	spoffA	midgard	0	7400	A	US	spawn_off	Core destroyed	220	0	2230	770
spoffA_midgard_g1	spoffA	midgard	1	7401	B	OPP	_v488beltbreak2	Core destroyed	283	0	1050	2050
spoffA_midgard_g2	spoffA	midgard	2	7402	A	OPP	_v488beltbreak2	Core destroyed	225	0	890	1810
spoffA_midgard_g3	spoffA	midgard	3	7403	B	OPP	_v488beltbreak2	Core destroyed	197	0	1370	1160
spoffA_midgard_g4	spoffA	midgard	4	7404	A	OPP	_v488beltbreak2	Core destroyed	628	0	3730	7900
spoffA_midgard_g5	spoffA	midgard	5	7405	B	OPP	_v488beltbreak2	Core destroyed	357	0	1720	3740
spoffA_drakkarfjord_g0	spoffA	drakkarfjord	0	7400	A	US	spawn_off	Core destroyed	187	0	1680	0
spoffA_drakkarfjord_g1	spoffA	drakkarfjord	1	7401	B	US	spawn_off	Core destroyed	322	0	2200	0
spoffA_drakkarfjord_g2	spoffA	drakkarfjord	2	7402	A	US	spawn_off	Core destroyed	148	0	870	0
spoffA_drakkarfjord_g3	spoffA	drakkarfjord	3	7403	B	US	spawn_off	Core destroyed	315	0	1550	0
spoffA_drakkarfjord_g4	spoffA	drakkarfjord	4	7404	A	US	spawn_off	Core destroyed	216	0	1370	0
spoffA_drakkarfjord_g5	spoffA	drakkarfjord	5	7405	B	OPP	_v488beltbreak2	Core destroyed	479	0	3200	1710
