tag	siege_r	idle_r	ammo_med	lt10	ge10	ge120	idle_med
atoll_s1_A	55	408	42	0.0	1.0	0.0	24.0
atoll_s1_B	0	437	-1	-1	-1	-1	36
atoll_s2_A	920	80	53.0	0.011956521739130435	0.9880434782608696	0.0	20.0
atoll_s2_B	8	581	65.0	0.0	1.0	0.0	56
atoll_s3_A	99	555	290	0.0	1.0	0.9494949494949495	24
atoll_s3_B	60	99	18.0	0.3	0.7	0.0	24
drakkarfjord_s1_A	23	743	246	0.0	1.0	0.782608695652174	24
drakkarfjord_s1_B	71	71	140	0.0	1.0	0.7464788732394366	0
drakkarfjord_s2_A	0	486	-1	-1	-1	-1	20.5
drakkarfjord_s2_B	55	181	49	0.0	1.0	0.0	24
drakkarfjord_s3_A	0	1000	-1	-1	-1	-1	24.0
drakkarfjord_s3_B	0	1000	-1	-1	-1	-1	300.0
glacierkeep_s1_A	85	125	6	0.6823529411764706	0.3176470588235294	0.0	24
glacierkeep_s1_B	942	58	5.0	0.9978768577494692	0.0021231422505307855	0.0	0.0
glacierkeep_s2_A	96	77	5.0	0.8854166666666666	0.11458333333333333	0.0	24
glacierkeep_s2_B	891	109	2	0.9955106621773289	0.004489337822671156	0.0	20
glacierkeep_s3_A	927	73	3	0.9838187702265372	0.016181229773462782	0.0	20
glacierkeep_s3_B	266	734	9.0	0.8872180451127819	0.11278195488721804	0.0	156.0
midgard_s1_A	0	259	-1	-1	-1	-1	5
midgard_s1_B	170	79	8.0	0.6705882352941176	0.32941176470588235	0.12352941176470589	16
midgard_s2_A	95	182	147	0.0	1.0	0.6105263157894737	16.0
midgard_s2_B	77	43	149	0.0	1.0	0.935064935064935	16
midgard_s3_A	0	168	-1	-1	-1	-1	16.0
midgard_s3_B	170	79	8.0	0.6705882352941176	0.32941176470588235	0.12352941176470589	16
nordkap_s1_A	0	295	-1	-1	-1	-1	21
nordkap_s1_B	55	445	290	0.0	1.0	1.0	24
nordkap_s2_A	0	321	-1	-1	-1	-1	0
nordkap_s2_B	0	553	-1	-1	-1	-1	22
nordkap_s3_A	0	343	-1	-1	-1	-1	24
nordkap_s3_B	80	61	9.0	0.5125	0.4875	0.0	20
