arm	map	seed	seat	ok	winner	turns	cond	treat_won
v524	ragnarok	524246	A	True	A	1000	titanium_collected	True
v524	ragnarok	524247	B	True	B	1000	titanium_collected	True
v522	ragnarok	524248	A	True	A	184	core_destroyed	True
v524	ragnarok	524248	A	True	A	328	core_destroyed	True
v524	ragnarok	524249	B	True	A	251	core_destroyed	False
v522	ragnarok	524249	B	True	B	320	core_destroyed	True
v524	ragnarok	524250	A	True	A	228	core_destroyed	True
v524	ragnarok	524251	B	True	A	187	core_destroyed	False
v522	ragnarok	524250	A	True	A	240	core_destroyed	True
v524	ragnarok	524252	A	True	A	178	core_destroyed	True
v524	ragnarok	524253	B	True	B	120	core_destroyed	True
v522	ragnarok	524253	B	True	A	451	core_destroyed	False
v522	ragnarok	524254	A	True	A	261	core_destroyed	True
v522	ragnarok	524251	B	True	A	1000	titanium_collected	False
v522	ragnarok	524252	A	True	A	1000	titanium_collected	True
v522	ragnarok	524255	B	True	B	197	core_destroyed	True
v524	ragnarok	524254	A	True	A	1000	titanium_collected	True
v524	ragnarok	524255	B	True	B	373	core_destroyed	True
v524	ragnarok	524256	A	True	B	425	core_destroyed	False
v524	ragnarok	524257	B	True	A	154	core_destroyed	False
v522	ragnarok	524256	A	True	A	1000	titanium_collected	True
v522	ragnarok	524257	B	True	B	251	core_destroyed	True
v522	ragnarok	524259	B	True	B	125	core_destroyed	True
v524	ragnarok	524259	B	True	B	164	core_destroyed	True
v522	ragnarok	524258	A	True	A	285	core_destroyed	True
v524	ragnarok	524258	A	True	A	274	core_destroyed	True
v524	frostgate	524260	A	True	B	265	core_destroyed	False
v522	frostgate	524260	A	True	B	178	core_destroyed	False
v524	frostgate	524261	B	True	B	140	core_destroyed	True
v522	frostgate	524261	B	True	A	356	core_destroyed	False
v524	frostgate	524262	A	True	A	116	core_destroyed	True
v522	frostgate	524262	A	True	A	356	core_destroyed	True
v524	frostgate	524263	B	True	A	289	core_destroyed	False
v522	frostgate	524263	B	True	A	382	core_destroyed	False
v524	frostgate	524264	A	True	B	140	core_destroyed	False
v522	frostgate	524264	A	True	A	191	core_destroyed	True
v524	frostgate	524265	B	True	B	193	core_destroyed	True
v522	frostgate	524265	B	True	B	176	core_destroyed	True
