arm	map	seed	seat	ok	winner	turns	cond	treat_won	traceback
v524parent	glacierkeep	525542	A	True	A	149	core_destroyed	True	False
v524parent	glacierkeep	525543	B	True	B	225	core_destroyed	True	False
flagoff	glacierkeep	525543	B	True	B	1000	titanium_collected	True	False
flagoff	glacierkeep	525544	A	True	A	119	core_destroyed	True	False
v524parent	glacierkeep	525544	A	True	A	123	core_destroyed	True	False
flagoff	glacierkeep	525545	B	True	B	221	core_destroyed	True	False
flagoff	glacierkeep	525546	A	True	A	153	core_destroyed	True	False
v524parent	glacierkeep	525545	B	True	B	1000	harvesters	True	False
flagoff	glacierkeep	525547	B	True	B	317	core_destroyed	True	False
v524parent	glacierkeep	525546	A	True	A	429	core_destroyed	True	False
v524parent	glacierkeep	525547	B	True	B	197	core_destroyed	True	False
v524parent	icefloe	525548	A	True	A	98	core_destroyed	True	False
flagoff	icefloe	525548	A	True	A	492	core_destroyed	True	False
flagoff	icefloe	525549	B	True	B	116	core_destroyed	True	False
v524parent	icefloe	525549	B	True	B	116	core_destroyed	True	False
flagoff	icefloe	525550	A	True	A	83	core_destroyed	True	False
v524parent	icefloe	525550	A	True	A	92	core_destroyed	True	False
flagoff	icefloe	525551	B	True	B	117	core_destroyed	True	False
v524parent	icefloe	525551	B	True	B	188	core_destroyed	True	False
flagoff	icefloe	525552	A	True	A	98	core_destroyed	True	False
v524parent	icefloe	525552	A	True	A	210	core_destroyed	True	False
flagoff	icefloe	525553	B	True	B	124	core_destroyed	True	False
v524parent	icefloe	525553	B	True	B	175	core_destroyed	True	False
flagoff	midgard	525554	A	True	B	135	core_destroyed	False	False
v524parent	midgard	525554	A	True	A	345	core_destroyed	True	False
flagoff	midgard	525555	B	True	A	182	core_destroyed	False	False
v524parent	midgard	525555	B	True	B	184	core_destroyed	True	False
flagoff	midgard	525556	A	True	A	260	core_destroyed	True	False
v524parent	midgard	525556	A	True	B	135	core_destroyed	False	False
flagoff	midgard	525557	B	True	A	335	core_destroyed	False	False
v524parent	midgard	525557	B	True	A	1000	titanium_collected	False	False
flagoff	midgard	525558	A	True	B	162	core_destroyed	False	False
v524parent	midgard	525558	A	True	A	196	core_destroyed	True	False
flagoff	midgard	525559	B	True	A	529	core_destroyed	False	False
v524parent	midgard	525559	B	True	B	205	core_destroyed	True	False
flagoff	nordkap	525560	A	True	A	276	core_destroyed	True	False
flagoff	nordkap	525561	B	True	B	140	core_destroyed	True	False
v524parent	nordkap	525560	A	True	B	1000	titanium_collected	False	False
v524parent	nordkap	525561	B	True	B	326	core_destroyed	True	False
flagoff	nordkap	525562	A	True	B	607	core_destroyed	False	False
v524parent	nordkap	525562	A	True	A	185	core_destroyed	True	False
flagoff	nordkap	525563	B	True	B	133	core_destroyed	True	False
flagoff	nordkap	525564	A	True	A	138	core_destroyed	True	False
v524parent	nordkap	525563	B	True	A	258	core_destroyed	False	False
flagoff	nordkap	525565	B	True	B	161	core_destroyed	True	False
v524parent	nordkap	525564	A	True	A	550	core_destroyed	True	False
v524parent	nordkap	525565	B	True	B	325	core_destroyed	True	False
