# SIEGECREW (v513siegecrew T vs v488beltbreak2 C) -- BARRIER-RUSH local, n=1257 partial/trend-floor-stopped: pooled share 0.4948 (49.48%) n=1257 DEFF=1.0
map	n	wins	share	delta_pp	half_width_pp	verdict
antler	84	40	47.62	-1.86	10.69	NEUTRAL
archipelago	84	15	17.86	-31.63	10.69	BAD
auroraveil	84	45	53.57	+4.09	10.69	NEUTRAL
drakkarfjord	84	60	71.43	+21.95	10.69	GOOD
drumlin	84	57	67.86	+18.37	10.69	GOOD
fjordgate	84	37	44.05	-5.44	10.69	NEUTRAL
frostgate	84	34	40.48	-9.01	10.69	NEUTRAL
glacierkeep	84	74	88.10	+38.61	10.69	GOOD
icefloe	84	50	59.52	+10.04	10.69	NEUTRAL
midgard	84	17	20.24	-29.24	10.69	BAD
nordkap	84	43	51.19	+1.71	10.69	NEUTRAL
ragnarok	84	51	60.71	+11.23	10.69	GOOD
royale	84	42	50.00	+0.52	10.69	NEUTRAL
valkyrie	83	46	55.42	+5.94	10.76	NEUTRAL
yulerune	82	11	13.41	-36.07	10.82	BAD
